year,municipality,type_of_debt,mean_debt_euro
2002,Maalahti,Loans charged on business activities or a source of income,8389
2002,Mustasaari,Loans charged on business activities or a source of income,6134
2002,Vaasa,Loans charged on business activities or a source of income,2101
2002,Vöyri,Loans charged on business activities or a source of income,13760
2002,Hirvensalmi,Loans charged on business activities or a source of income,6582
2002,Kangasniemi,Loans charged on business activities or a source of income,4884
2002,Mikkeli,Loans charged on business activities or a source of income,2891
2002,Mäntyharju,Loans charged on business activities or a source of income,4213
2002,Pertunmaa,Loans charged on business activities or a source of income,6823
2002,Puumala,Loans charged on business activities or a source of income,8135
2002,Joroinen,Loans charged on business activities or a source of income,4847
2002,Juva,Loans charged on business activities or a source of income,9816
2002,Pieksämäki,Loans charged on business activities or a source of income,2605
2002,Enonkoski,Loans charged on business activities or a source of income,7634
2002,Heinävesi,Loans charged on business activities or a source of income,3600
2002,Rantasalmi,Loans charged on business activities or a source of income,12334
2002,Savonlinna,Loans charged on business activities or a source of income,2482
2002,Sulkava,Loans charged on business activities or a source of income,6717
2002,Kaavi,Loans charged on business activities or a source of income,2882
2002,Rautavaara,Loans charged on business activities or a source of income,4262
2002,Tuusniemi,Loans charged on business activities or a source of income,4597
2002,Kuopio,Loans charged on business activities or a source of income,2269
2002,Siilinjärvi,Loans charged on business activities or a source of income,2963
2002,Rautalampi,Loans charged on business activities or a source of income,4645
2002,Suonenjoki,Loans charged on business activities or a source of income,3455
2002,Tervo,Loans charged on business activities or a source of income,4961
2002,Vesanto,Loans charged on business activities or a source of income,5535
2002,Leppävirta,Loans charged on business activities or a source of income,3346
2002,Varkaus,Loans charged on business activities or a source of income,1564
2002,Iisalmi,Loans charged on business activities or a source of income,2943
2002,Keitele,Loans charged on business activities or a source of income,5453
2002,Kiuruvesi,Loans charged on business activities or a source of income,12204
2002,Lapinlahti,Loans charged on business activities or a source of income,6502
2002,Pielavesi,Loans charged on business activities or a source of income,7036
2002,Sonkajärvi,Loans charged on business activities or a source of income,7201
2002,Vieremä,Loans charged on business activities or a source of income,17202
2002,Ilomantsi,Loans charged on business activities or a source of income,2623
2002,Joensuu,Loans charged on business activities or a source of income,1886
2002,Juuka,Loans charged on business activities or a source of income,2791
2002,Kontiolahti,Loans charged on business activities or a source of income,4660
2002,Liperi,Loans charged on business activities or a source of income,3340
2002,Outokumpu,Loans charged on business activities or a source of income,1890
2002,Polvijärvi,Loans charged on business activities or a source of income,4885
2002,Kitee,Loans charged on business activities or a source of income,3358
2002,Rääkkylä,Loans charged on business activities or a source of income,6554
2002,Tohmajärvi,Loans charged on business activities or a source of income,7367
2002,Lieksa,Loans charged on business activities or a source of income,2547
2002,Nurmes,Loans charged on business activities or a source of income,3859
2002,Halsua,Loans charged on business activities or a source of income,10452
2002,Kaustinen,Loans charged on business activities or a source of income,7332
2002,Lestijärvi,Loans charged on business activities or a source of income,5168
2002,Perho,Loans charged on business activities or a source of income,2215
2002,Toholampi,Loans charged on business activities or a source of income,3275
2002,Veteli,Loans charged on business activities or a source of income,1566
2002,Kannus,Loans charged on business activities or a source of income,2469
2002,Kokkola,Loans charged on business activities or a source of income,2649
2002,Haapavesi,Loans charged on business activities or a source of income,7797
