year,municipality,type_of_debt,mean_debt_euro
2003,Virolahti,Study loans,306
2003,Iitti,Study loans,468
2003,Kouvola,Study loans,548
2003,Imatra,Study loans,640
2003,Parikkala,Study loans,287
2003,Rautjärvi,Study loans,303
2003,Ruokolahti,Study loans,409
2003,Lappeenranta,Study loans,812
2003,Lemi,Study loans,392
2003,Luumäki,Study loans,293
2003,Savitaipale,Study loans,337
2003,Taipalsaari,Study loans,525
2003,Jämijärvi,Study loans,357
2003,Kankaanpää,Study loans,606
2003,Karvia,Study loans,254
2003,Siikainen,Study loans,265
2003,Harjavalta,Study loans,539
2003,Huittinen,Study loans,452
2003,Kokemäki,Study loans,404
2003,Merikarvia,Study loans,259
2003,Nakkila,Study loans,562
2003,Pomarkku,Study loans,394
2003,Pori,Study loans,697
2003,Ulvila,Study loans,508
2003,Eura,Study loans,334
2003,Eurajoki,Study loans,415
2003,Rauma,Study loans,619
2003,Säkylä,Study loans,446
2003,Akaa,Study loans,529
2003,Urjala,Study loans,362
2003,Valkeakoski,Study loans,552
2003,Punkalaidun,Study loans,253
2003,Sastamala,Study loans,432
2003,Ikaalinen,Study loans,509
2003,Kihniö,Study loans,397
2003,Parkano,Study loans,298
2003,Hämeenkyrö,Study loans,419
2003,Kangasala,Study loans,609
2003,Lempäälä,Study loans,650
2003,Nokia,Study loans,535
2003,Orivesi,Study loans,504
2003,Pirkkala,Study loans,726
2003,Pälkäne,Study loans,360
2003,Tampere,Study loans,1226
2003,Vesilahti,Study loans,492
2003,Ylöjärvi,Study loans,514
2003,Juupajoki,Study loans,312
2003,Mänttä-Vilppula,Study loans,418
2003,Ruovesi,Study loans,330
2003,Virrat,Study loans,514
2003,Joutsa,Study loans,353
2003,Luhanka,Study loans,285
2003,Hankasalmi,Study loans,479
2003,Jyväskylä,Study loans,1426
2003,Laukaa,Study loans,609
2003,Muurame,Study loans,960
2003,Petäjävesi,Study loans,358
2003,Toivakka,Study loans,335
2003,Uurainen,Study loans,501
2003,Jämsä,Study loans,505
2003,Kuhmoinen,Study loans,288
2003,Keuruu,Study loans,563
2003,Multia,Study loans,299
2003,Kannonkoski,Study loans,280
2003,Karstula,Study loans,373
2003,Kinnula,Study loans,531
2003,Kivijärvi,Study loans,183
2003,Kyyjärvi,Study loans,329
2003,Pihtipudas,Study loans,385
2003,Saarijärvi,Study loans,444
2003,Viitasaari,Study loans,480
2003,Konnevesi,Study loans,502
2003,Äänekoski,Study loans,568
2003,Alajärvi,Study loans,391
2003,Evijärvi,Study loans,486
2003,Lappajärvi,Study loans,326
2003,Soini,Study loans,315
2003,Vimpeli,Study loans,483
2003,Alavus,Study loans,450
2003,Kuortane,Study loans,335
2003,Ähtäri,Study loans,465
2003,Ilmajoki,Study loans,587
2003,Kauhava,Study loans,454
2003,Kurikka,Study loans,528
2003,Lapua,Study loans,523
2003,Seinäjoki,Study loans,850
2003,Isojoki,Study loans,282
2003,Karijoki,Study loans,219
2003,Kauhajoki,Study loans,498
2003,Teuva,Study loans,358
2003,Kruunupyy,Study loans,610
2003,Luoto,Study loans,589
2003,Pedersören kunta,Study loans,372
2003,Pietarsaari,Study loans,557
2003,Uusikaarlepyy,Study loans,435
2003,Isokyrö,Study loans,453
2003,Laihia,Study loans,542
2003,Kaskinen,Study loans,459
2003,Kristiinankaupunki,Study loans,509
2003,Närpiö,Study loans,451
2003,Korsnäs,Study loans,347
2003,Maalahti,Study loans,498
2003,Mustasaari,Study loans,636
2003,Vaasa,Study loans,1112
2003,Vöyri,Study loans,534
2003,Hirvensalmi,Study loans,312
2003,Kangasniemi,Study loans,431
2003,Mikkeli,Study loans,876
2003,Mäntyharju,Study loans,403
2003,Pertunmaa,Study loans,330
2003,Puumala,Study loans,379
2003,Joroinen,Study loans,571
2003,Juva,Study loans,481
2003,Pieksämäki,Study loans,609
2003,Enonkoski,Study loans,418
2003,Heinävesi,Study loans,365
2003,Rantasalmi,Study loans,403
2003,Savonlinna,Study loans,767
2003,Sulkava,Study loans,374
2003,Kaavi,Study loans,404
2003,Rautavaara,Study loans,313
2003,Tuusniemi,Study loans,306
2003,Kuopio,Study loans,1172
2003,Siilinjärvi,Study loans,794
2003,Rautalampi,Study loans,421
2003,Suonenjoki,Study loans,654
2003,Tervo,Study loans,421
2003,Vesanto,Study loans,453
2003,Leppävirta,Study loans,558
2003,Varkaus,Study loans,708
2003,Iisalmi,Study loans,778
2003,Keitele,Study loans,426
2003,Kiuruvesi,Study loans,601
2003,Lapinlahti,Study loans,478
2003,Pielavesi,Study loans,390
2003,Sonkajärvi,Study loans,353
2003,Vieremä,Study loans,433
2003,Ilomantsi,Study loans,361
2003,Joensuu,Study loans,1203
2003,Juuka,Study loans,326
2003,Kontiolahti,Study loans,726
2003,Liperi,Study loans,560
2003,Outokumpu,Study loans,586
2003,Polvijärvi,Study loans,410
2003,Kitee,Study loans,346
2003,Rääkkylä,Study loans,320
2003,Tohmajärvi,Study loans,409
2003,Lieksa,Study loans,362
2003,Nurmes,Study loans,451
2003,Halsua,Study loans,514
2003,Kaustinen,Study loans,732
2003,Lestijärvi,Study loans,393
2003,Perho,Study loans,502
2003,Toholampi,Study loans,526
2003,Veteli,Study loans,460
2003,Kannus,Study loans,584
2003,Kokkola,Study loans,862
2003,Haapavesi,Study loans,626
2003,Pyhäntä,Study loans,592
2003,Siikalatva,Study loans,451
2003,Kuusamo,Study loans,653
2003,Taivalkoski,Study loans,502
2003,Haapajärvi,Study loans,609
2003,Kärsämäki,Study loans,434
2003,Nivala,Study loans,572
2003,Pyhäjärvi,Study loans,483
2003,Reisjärvi,Study loans,441
2003,Hailuoto,Study loans,625
2003,Kempele,Study loans,945
2003,Liminka,Study loans,917
2003,Lumijoki,Study loans,472
2003,Muhos,Study loans,740
2003,Oulu,Study loans,1475
2003,Tyrnävä,Study loans,794
2003,Ii,Study loans,559
2003,Pudasjärvi,Study loans,514
2003,Utajärvi,Study loans,541
2003,Vaala,Study loans,481
2003,Pyhäjoki,Study loans,323
2003,Raahe,Study loans,752
2003,Siikajoki,Study loans,520
2003,Alavieska,Study loans,649
2003,Kalajoki,Study loans,578
2003,Merijärvi,Study loans,425
2003,Oulainen,Study loans,728
2003,Sievi,Study loans,584
2003,Ylivieska,Study loans,919
2003,Kajaani,Study loans,943
2003,Paltamo,Study loans,465
2003,Ristijärvi,Study loans,207
2003,Sotkamo,Study loans,567
2003,Hyrynsalmi,Study loans,410
2003,Kuhmo,Study loans,460
2003,Puolanka,Study loans,420
2003,Suomussalmi,Study loans,528
2003,Kemijärvi,Study loans,457
2003,Pelkosenniemi,Study loans,811
2003,Posio,Study loans,430
2003,Salla,Study loans,489
2003,Savukoski,Study loans,540
2003,Kemi,Study loans,926
2003,Keminmaa,Study loans,754
2003,Simo,Study loans,524
2003,Tervola,Study loans,514
2003,Tornio,Study loans,870
2003,Inari,Study loans,924
2003,Sodankylä,Study loans,600
2003,Utsjoki,Study loans,946
2003,Ranua,Study loans,700
2003,Rovaniemi,Study loans,1377
2003,Pello,Study loans,438
2003,Ylitornio,Study loans,496
2003,Enontekiö,Study loans,529
2003,Kittilä,Study loans,644
2003,Kolari,Study loans,669
2003,Muonio,Study loans,594
2003,Maarianhamina - Mariehamn,Study loans,1770
2003,Eckerö,Study loans,1345
2003,Finström,Study loans,1088
2003,Geta,Study loans,748
2003,Hammarland,Study loans,1290
2003,Jomala,Study loans,1273
2003,Lemland,Study loans,1211
2003,Lumparland,Study loans,1120
2003,Saltvik,Study loans,1186
2003,Sund,Study loans,1163
2003,Brändö,Study loans,431
2003,Föglö,Study loans,1249
2003,Kumlinge,Study loans,865
2003,Kökar,Study loans,813
2003,Sottunga,Study loans,358
2003,Vårdö,Study loans,648
2004,Espoo,Study loans,938
2004,Helsinki,Study loans,1216
2004,Hyvinkää,Study loans,635
2004,Järvenpää,Study loans,773
2004,Karkkila,Study loans,346
2004,Kauniainen,Study loans,683
2004,Kerava,Study loans,646
2004,Kirkkonummi,Study loans,699
2004,Lohja,Study loans,482
2004,Mäntsälä,Study loans,459
2004,Nurmijärvi,Study loans,535
2004,Pornainen,Study loans,399
2004,Sipoo,Study loans,432
2004,Siuntio,Study loans,499
2004,Tuusula,Study loans,536
2004,Vantaa,Study loans,734
2004,Vihti,Study loans,575
2004,Lapinjärvi,Study loans,427
2004,Loviisa,Study loans,416
2004,Askola,Study loans,456
2004,Myrskylä,Study loans,511
2004,Porvoo,Study loans,676
2004,Pukkila,Study loans,383
2004,Hanko,Study loans,387
2004,Inkoo,Study loans,487
2004,Raasepori,Study loans,441
2004,Aura,Study loans,426
2004,Koski Tl,Study loans,298
2004,Loimaa,Study loans,373
2004,Marttila,Study loans,251
2004,Oripää,Study loans,318
2004,Pöytyä,Study loans,353
2004,Salo,Study loans,442
2004,Somero,Study loans,349
2004,Kaarina,Study loans,585
2004,Lieto,Study loans,501
2004,Masku,Study loans,419
2004,Mynämäki,Study loans,362
2004,Naantali,Study loans,525
2004,Nousiainen,Study loans,320
2004,Paimio,Study loans,461
2004,Raisio,Study loans,451
2004,Rusko,Study loans,331
2004,Sauvo,Study loans,311
2004,Turku,Study loans,1141
2004,Kustavi,Study loans,171
2004,Laitila,Study loans,316
2004,Pyhäranta,Study loans,258
2004,Taivassalo,Study loans,160
2004,Uusikaupunki,Study loans,353
2004,Vehmaa,Study loans,290
2004,Kemiönsaari,Study loans,405
2004,Parainen,Study loans,488
2004,Forssa,Study loans,476
2004,Humppila,Study loans,253
2004,Jokioinen,Study loans,457
2004,Tammela,Study loans,407
2004,Ypäjä,Study loans,416
2004,Hattula,Study loans,516
2004,Hämeenlinna,Study loans,706
2004,Janakkala,Study loans,452
2004,Hausjärvi,Study loans,481
2004,Loppi,Study loans,388
2004,Riihimäki,Study loans,680
2004,Asikkala,Study loans,415
2004,Hartola,Study loans,316
2004,Heinola,Study loans,441
2004,Hollola,Study loans,513
2004,Kärkölä,Study loans,323
2004,Lahti,Study loans,790
2004,Orimattila,Study loans,398
2004,Padasjoki,Study loans,332
2004,Sysmä,Study loans,269
2004,Hamina,Study loans,402
2004,Kotka,Study loans,631
2004,Miehikkälä,Study loans,266
2004,Pyhtää,Study loans,344
2004,Virolahti,Study loans,316
2004,Iitti,Study loans,439
2004,Kouvola,Study loans,550
2004,Imatra,Study loans,598
2004,Parikkala,Study loans,305
2004,Rautjärvi,Study loans,290
2004,Ruokolahti,Study loans,371
2004,Lappeenranta,Study loans,794
2004,Lemi,Study loans,352
2004,Luumäki,Study loans,322
2004,Savitaipale,Study loans,300
2004,Taipalsaari,Study loans,504
2004,Jämijärvi,Study loans,384
2004,Kankaanpää,Study loans,561
2004,Karvia,Study loans,236
2004,Siikainen,Study loans,367
2004,Harjavalta,Study loans,526
2004,Huittinen,Study loans,452
2004,Kokemäki,Study loans,397
2004,Merikarvia,Study loans,269
2004,Nakkila,Study loans,544
2004,Pomarkku,Study loans,339
2004,Pori,Study loans,695
2004,Ulvila,Study loans,500
2004,Eura,Study loans,324
2004,Eurajoki,Study loans,433
2004,Rauma,Study loans,586
2004,Säkylä,Study loans,425
2004,Akaa,Study loans,507
2004,Urjala,Study loans,328
2004,Valkeakoski,Study loans,517
2004,Punkalaidun,Study loans,211
2004,Sastamala,Study loans,424
2004,Ikaalinen,Study loans,486
2004,Kihniö,Study loans,378
2004,Parkano,Study loans,273
2004,Hämeenkyrö,Study loans,420
2004,Kangasala,Study loans,571
2004,Lempäälä,Study loans,616
2004,Nokia,Study loans,503
2004,Orivesi,Study loans,470
2004,Pirkkala,Study loans,704
2004,Pälkäne,Study loans,358
2004,Tampere,Study loans,1207
2004,Vesilahti,Study loans,480
2004,Ylöjärvi,Study loans,502
2004,Juupajoki,Study loans,259
2004,Mänttä-Vilppula,Study loans,389
2004,Ruovesi,Study loans,306
2004,Virrat,Study loans,504
2004,Joutsa,Study loans,352
2004,Luhanka,Study loans,179
2004,Hankasalmi,Study loans,485
2004,Jyväskylä,Study loans,1396
2004,Laukaa,Study loans,566
2004,Muurame,Study loans,902
2004,Petäjävesi,Study loans,401
2004,Toivakka,Study loans,375
2004,Uurainen,Study loans,512
2004,Jämsä,Study loans,478
2004,Kuhmoinen,Study loans,223
2004,Keuruu,Study loans,492
2004,Multia,Study loans,310
2004,Kannonkoski,Study loans,243
2004,Karstula,Study loans,361
2004,Kinnula,Study loans,496
2004,Kivijärvi,Study loans,218
2004,Kyyjärvi,Study loans,275
2004,Pihtipudas,Study loans,368
2004,Saarijärvi,Study loans,462
2004,Viitasaari,Study loans,446
2004,Konnevesi,Study loans,455
2004,Äänekoski,Study loans,564
2004,Alajärvi,Study loans,402
2004,Evijärvi,Study loans,450
2004,Lappajärvi,Study loans,284
2004,Soini,Study loans,294
2004,Vimpeli,Study loans,453
2004,Alavus,Study loans,450
2004,Kuortane,Study loans,300
2004,Ähtäri,Study loans,436
2004,Ilmajoki,Study loans,588
2004,Kauhava,Study loans,459
2004,Kurikka,Study loans,512
2004,Lapua,Study loans,547
2004,Seinäjoki,Study loans,838
2004,Isojoki,Study loans,243
2004,Karijoki,Study loans,247
2004,Kauhajoki,Study loans,481
2004,Teuva,Study loans,316
2004,Kruunupyy,Study loans,589
2004,Luoto,Study loans,512
2004,Pedersören kunta,Study loans,377
2004,Pietarsaari,Study loans,553
2004,Uusikaarlepyy,Study loans,436
2004,Isokyrö,Study loans,435
2004,Laihia,Study loans,516
2004,Kaskinen,Study loans,395
2004,Kristiinankaupunki,Study loans,505
2004,Närpiö,Study loans,477
2004,Korsnäs,Study loans,354
2004,Maalahti,Study loans,470
2004,Mustasaari,Study loans,631
2004,Vaasa,Study loans,1083
2004,Vöyri,Study loans,530
2004,Hirvensalmi,Study loans,304
2004,Kangasniemi,Study loans,408
2004,Mikkeli,Study loans,840
2004,Mäntyharju,Study loans,394
2004,Pertunmaa,Study loans,300
2004,Puumala,Study loans,336
2004,Joroinen,Study loans,544
2004,Juva,Study loans,442
2004,Pieksämäki,Study loans,589
2004,Enonkoski,Study loans,450
2004,Heinävesi,Study loans,344
2004,Rantasalmi,Study loans,366
2004,Savonlinna,Study loans,722
2004,Sulkava,Study loans,405
2004,Kaavi,Study loans,471
2004,Rautavaara,Study loans,350
2004,Tuusniemi,Study loans,334
2004,Kuopio,Study loans,1150
2004,Siilinjärvi,Study loans,790
2004,Rautalampi,Study loans,431
2004,Suonenjoki,Study loans,608
2004,Tervo,Study loans,406
2004,Vesanto,Study loans,466
2004,Leppävirta,Study loans,556
2004,Varkaus,Study loans,685
2004,Iisalmi,Study loans,750
2004,Keitele,Study loans,416
2004,Kiuruvesi,Study loans,580
2004,Lapinlahti,Study loans,444
2004,Pielavesi,Study loans,371
2004,Sonkajärvi,Study loans,370
2004,Vieremä,Study loans,428
2004,Ilomantsi,Study loans,346
2004,Joensuu,Study loans,1183
2004,Juuka,Study loans,343
2004,Kontiolahti,Study loans,732
2004,Liperi,Study loans,538
2004,Outokumpu,Study loans,563
2004,Polvijärvi,Study loans,386
2004,Kitee,Study loans,324
2004,Rääkkylä,Study loans,336
