Municipality,Year,Mental health score
Parkano,2000,-0.2747756994181629
Parkano,2001,-0.12252934058269237
Parkano,2002,-0.07137098530277061
Parkano,2003,0.060720641927271196
Parkano,2004,0.2088906432168978
Parkano,2005,0.22499623171751143
Parkano,2006,-0.22408910774963
Parkano,2007,0.2079360228095293
Parkano,2008,0.22422958009503396
Parkano,2009,0.024872756865360834
Parkano,2010,-0.05451286873431705
Parkano,2011,0.018064306739111267
Parkano,2012,0.09706639710533617
Parkano,2013,0.38840053259494645
Parkano,2014,0.4217868500241502
Parkano,2015,0.4671206752571216
Parkano,2016,-0.2133998254056809
Parkano,2017,0.09205403456610377
Parkano,2018,0.16672302770869143
Parkano,2019,0.3791930185550085
Parkano,2020,0.36542469356874746
Parkano,2021,0.5706287000787325
Parkano,2022,0.7100700342782991
Parkano,2023,0.5407970205766334
Pedersöre,1997,-2.1530826404726064
Pedersöre,1998,-2.255354125685378
Pedersöre,1999,-2.188449282324194
Pedersöre,2000,-2.096459613931316
Pedersöre,2001,-2.065615339557678
Pedersöre,2002,-2.0861209538626
Pedersöre,2003,-1.9973972446383081
Pedersöre,2004,-1.9534433221836922
Pedersöre,2005,-1.8604131682969678
Pedersöre,2006,-1.8060926580337489
Pedersöre,2007,-1.5579554830434454
Pedersöre,2008,-1.6384893641665041
Pedersöre,2009,-1.6737092648187517
Pedersöre,2010,-1.8442015213730623
Pedersöre,2011,-1.8017217361254085
Pedersöre,2012,-1.6483595375590947
Pedersöre,2013,-1.8347344451576808
Pedersöre,2014,-1.347697601532012
Pedersöre,2015,-1.3543701121182194
Pedersöre,2016,-1.27525403716356
Pedersöre,2017,-1.043511379271664
Pedersöre,2018,-0.6624795775708803
Pedersöre,2019,-0.6647907181905505
Pedersöre,2020,-0.4721525625755715
Pedersöre,2021,-0.4022886198232603
Pedersöre,2022,-0.16844720525342916
Pedersöre,2023,-0.38823716358207294
Pelkosenniemi,1997,-0.46591131764566246
Pelkosenniemi,1998,-0.47409859899407497
Pelkosenniemi,1999,-0.1219943893703178
Pelkosenniemi,2000,-0.22960360950638292
Pelkosenniemi,2001,-0.2267302507389939
Pelkosenniemi,2002,0.1326047822752987
Pelkosenniemi,2003,-0.11356385722910657
Pelkosenniemi,2004,0.16206008448480236
Pelkosenniemi,2005,0.6342101171752368
Pelkosenniemi,2006,1.9527178258559699
Pelkosenniemi,2007,1.0567087454478536
Pelkosenniemi,2008,0.8109040153068726
Pelkosenniemi,2009,0.4662981275358956
Pelkosenniemi,2010,0.5446765566364877
Pelkosenniemi,2011,0.724689965520373
Pelkosenniemi,2012,-0.10834284043130243
Pelkosenniemi,2013,-0.5397754333588052
Pelkosenniemi,2014,-0.7970001566589353
Pelkosenniemi,2015,-0.9853686604171018
Pelkosenniemi,2016,-0.4292266349188342
Pelkosenniemi,2017,0.26255867920229725
Pelkosenniemi,2018,0.25674861571990865
Pelkosenniemi,2019,0.34552338699975355
Pelkosenniemi,2020,-0.8673789971589809
Pelkosenniemi,2021,0.7375577901020565
Pelkosenniemi,2022,0.5858632649833272
Pelkosenniemi,2023,0.6978195798579006
Pello,1997,-0.3951184714165138
Pello,1998,-0.5972201932609476
Pello,1999,-0.37596041780444817
Pello,2000,-0.208656557405385
Pello,2001,-0.09095908869277503
Pello,2002,-0.19932032584455603
Pello,2003,-0.42895985207797527
Pello,2004,-0.1130836813690941
Pello,2005,0.0491510905405413
Pello,2006,0.5375324776569677
Pello,2007,0.3680218795081529
Pello,2008,0.7409394194358208
Pello,2009,0.29581713149119226
Pello,2010,-0.010698920518852363
Pello,2011,0.33666444025322023
Pello,2012,0.32556039144458443
Pello,2013,0.7057574208064333
Pello,2014,0.8098479877506922
Pello,2015,0.6692818879156452
Pello,2016,0.6275460492867397
Pello,2017,1.5699601483958185
Pello,2018,1.399503943825839
Pello,2019,0.8831211591728588
Pello,2020,0.57115840986803
Pello,2021,1.5606744226301454
Pello,2022,1.6782120165655803
Pello,2023,1.8302138852088696
Perho,1997,-0.9456154400975225
Perho,1998,-1.2290711450057565
Perho,1999,-1.151321895776701
Perho,2000,-1.5410133461102706
Perho,2001,-1.016053926682987
Perho,2002,-1.1298708732732952
Perho,2003,-1.1528031616802812
Perho,2004,-0.7400740099819788
Perho,2005,-0.7659735812619548
Perho,2006,-0.41185691795178303
Perho,2007,-0.5076483077525542
Perho,2008,-0.38564790863415854
Perho,2009,-0.7125780561149714
Perho,2010,0.1412174792998003
Perho,2011,0.012843033265436137
Perho,2012,-0.017927003723636294
Perho,2013,0.09493554816829725
Perho,2014,-0.3558526228958029
Perho,2015,-0.4987363930446017
Perho,2016,-0.5939956139899892
Perho,2017,-0.18808586270189293
Perho,2018,-0.3188140512984229
Perho,2019,-0.619978740694712
Perho,2020,-0.8109484499244751
Perho,2021,0.10230850145408245
Perho,2022,-0.3672806523385815
Perho,2023,-0.06733417467421889
Pertunmaa,1997,0.7875250716028285
Pertunmaa,1998,0.6039778787801584
Pertunmaa,1999,0.5692728370001788
Pertunmaa,2000,0.5471804824247666
Pertunmaa,2001,0.44253776055647664
Pertunmaa,2002,0.7871586934584937
Pertunmaa,2003,1.6278186308015132
Pertunmaa,2004,1.692662509876401
Pertunmaa,2005,2.166284769010153
Pertunmaa,2006,1.6975206994868406
Pertunmaa,2007,1.3076148285632134
Pertunmaa,2008,1.05430127199573
Pertunmaa,2009,1.0669274320196402
Pertunmaa,2010,0.34519659540840947
Pertunmaa,2011,0.24169898886559504
Pertunmaa,2012,0.6811563615247851
Pertunmaa,2013,0.6545067707443009
Pertunmaa,2014,0.8215063773389905
Pertunmaa,2015,0.6520700759010517
Pertunmaa,2016,1.0289618094469657
Pertunmaa,2017,1.123409843947967
Pertunmaa,2018,1.5232911316391262
Pertunmaa,2019,1.6832052001811737
Pertunmaa,2020,1.3909797877491628
Pertunmaa,2021,1.5414899760915837
Pertunmaa,2022,0.9820187026986167
Pertunmaa,2023,0.6153661939682176
Petäjävesi,1997,-0.15991529927382644
Petäjävesi,1998,-0.25224312424976014
Petäjävesi,1999,-0.5204464162670547
Petäjävesi,2000,0.16395463569027133
Petäjävesi,2001,0.1929375535978733
Petäjävesi,2002,0.46747331711251205
Petäjävesi,2003,0.2191573764269321
Petäjävesi,2004,-0.3892907901068804
Petäjävesi,2005,-0.5965765637243232
Petäjävesi,2006,-0.3300392864094622
Petäjävesi,2007,-0.2618790868148434
Petäjävesi,2008,-0.20416265686920096
Petäjävesi,2009,-0.2996655985334133
Petäjävesi,2010,-0.10629244023038309
Petäjävesi,2011,-0.03346183568790317
Petäjävesi,2012,0.1356926041882728
Petäjävesi,2013,0.12734881961342023
Petäjävesi,2014,0.033894618003833824
Petäjävesi,2015,0.18957606305862995
Petäjävesi,2016,0.026972906989286345
Petäjävesi,2017,0.11274002053878938
Petäjävesi,2018,0.1773329734844449
Petäjävesi,2019,0.5459942441459051
Petäjävesi,2020,-0.11477213058082109
Petäjävesi,2021,0.25879961517025224
Petäjävesi,2022,0.46610760464522466
Petäjävesi,2023,-0.07465653141280108
Pieksämäki,1997,0.35265687466863466
Pieksämäki,1998,0.9540663397572667
Pieksämäki,1999,0.7640632334857863
Pieksämäki,2000,1.0481660888948123
Pieksämäki,2001,0.9556387169687441
Pieksämäki,2002,1.3093273124640803
Pieksämäki,2003,2.1337074347760763
Pieksämäki,2004,2.028281994787988
Pieksämäki,2005,2.1692436960521686
Pieksämäki,2006,2.2041851040284732
Pieksämäki,2007,2.5444497715091092
Pieksämäki,2008,1.505179521954585
Pieksämäki,2009,1.1193779282251082
Pieksämäki,2010,1.1553300315572095
Pieksämäki,2011,0.9404018611329881
Pieksämäki,2012,0.8869449812691563
Pieksämäki,2013,1.1273177542075326
Pieksämäki,2014,0.8852623815584778
Pieksämäki,2015,1.293814677323893
Pieksämäki,2016,1.0924589232084558
Pieksämäki,2017,1.4858710121895715
Pieksämäki,2018,1.7518976295938036
Pieksämäki,2019,1.646048437933357
Pieksämäki,2020,1.2158863624202776
Pieksämäki,2021,2.2693437176762865
Pieksämäki,2022,1.972472351864129
Pieksämäki,2023,2.119082191022609
Pielavesi,1997,0.5731212318624954
Pielavesi,1998,0.9360085448860397
Pielavesi,1999,0.7020151749881763
Pielavesi,2000,0.7071492608968324
Pielavesi,2001,1.0768455260290783
Pielavesi,2002,1.0453225633041463
Pielavesi,2003,0.7211378486689535
Pielavesi,2004,1.4132052127179315
Pielavesi,2005,1.4713208462030196
Pielavesi,2006,1.6385284807665128
Pielavesi,2007,1.8697019734602827
Pielavesi,2008,1.6015212431711299
Pielavesi,2009,1.119034260692601
Pielavesi,2010,1.0010994939351165
Pielavesi,2011,0.8653124471759364
Pielavesi,2012,1.1208335978123254
Pielavesi,2013,1.110259701635104
Pielavesi,2014,1.4416577599470672
Pielavesi,2015,1.4935470062368459
Pielavesi,2016,1.0310080888160444
Pielavesi,2017,1.7822779499857992
Pielavesi,2018,1.7083231367259075
Pielavesi,2019,2.395969705777777
Pielavesi,2020,2.297819933349936
Pielavesi,2021,2.607080194524882
Pielavesi,2022,2.965095818314579
Pielavesi,2023,3.2305944396398583
Pihtipudas,1997,0.033259686584432804
Pihtipudas,1998,0.2849707823804986
Pihtipudas,1999,0.10965836926178578
Pihtipudas,2000,0.1952213519638339
Pihtipudas,2001,0.4620042851480308
Pihtipudas,2002,0.2701603023974746
Pihtipudas,2003,0.40901767335614253
Pihtipudas,2004,0.6966419994580658
Pihtipudas,2005,0.25338487826868167
Pihtipudas,2006,0.680439737737454
Pihtipudas,2007,0.845407473974366
Pihtipudas,2008,1.0727944121581754
Pihtipudas,2009,0.49828213779758873
Pihtipudas,2010,0.5505150785316624
Pihtipudas,2011,0.8656155943327905
Pihtipudas,2012,0.5651531939125553
Pihtipudas,2013,-0.3137915521310236
Pihtipudas,2014,0.23991709478719087
Pihtipudas,2015,0.04553592145950962
Pihtipudas,2016,0.27236349358969925
Pihtipudas,2017,0.5242630244493288
Pihtipudas,2018,0.6856645524634012
Pihtipudas,2019,1.143156764884326
Pihtipudas,2020,0.6891801323890544
Pihtipudas,2021,0.5319684937010865
Pihtipudas,2022,0.5843284700363414
Pihtipudas,2023,0.2618482968743234
Pirkkala,1997,-1.1811942075178603
Pirkkala,1998,-1.1963638215777477
Pirkkala,1999,-1.2632280451494136
Pirkkala,2000,-1.0499004084474894
Pirkkala,2001,-0.921921580587607
Pirkkala,2002,-1.0359060738204993
Pirkkala,2003,-0.8913824278193089
Pirkkala,2004,-0.7052421803611304
Pirkkala,2005,-0.46664886207354644
Pirkkala,2006,-0.523909654642384
Pirkkala,2007,-0.2933124485993393
Pirkkala,2008,-0.3234356604829245
Pirkkala,2009,-0.21232735168421007
Pirkkala,2010,-0.43858453745768977
Pirkkala,2011,-0.44339308235605307
Pirkkala,2012,-0.5829683724029038
Pirkkala,2013,-0.4934925813796648
Pirkkala,2014,-0.4214053875150901
