Municipality,Year,"Rehabilitative psychotherapy, recipients aged 16-64, combined","Reimbursements for depression medicines, recipients all ages, combined","Sickness allowance for mental health reasons, recipients aged 18-64, combined"
Jomala,1999,-0.3196394281538022,-2.1412475254009684,0.31125394951972046
Jomala,2000,-0.3196394281538022,-1.7960863718039564,0.31125394951972046
Jomala,2001,-0.3196394281538022,-1.8027427192604701,0.31125394951972046
Jomala,2002,-0.3196394281538022,-1.240640306585392,0.31125394951972046
Jomala,2003,-0.3196394281538022,-1.5259286717834535,0.31125394951972046
Jomala,2004,-0.3196394281538022,-1.061984932946155,0.31125394951972046
Jomala,2005,-0.3196394281538022,-0.9597355592202975,0.48712152289159816
Jomala,2006,-0.3196394281538022,-0.9039191319997527,1.3289795420370385
Jomala,2007,-0.3196394281538022,-0.8082722771669811,1.0114253211707156
Jomala,2008,-0.3196394281538022,-0.9430408620155859,-0.06232627874212744
Jomala,2009,-0.3196394281538022,-1.0079177985707977,0.6097896960685413
Jomala,2010,0.24895620755799897,-0.719990467387117,-0.32031577275096074
Jomala,2011,0.24895620755799897,-1.0764997087982588,-0.3485261809316068
Jomala,2012,0.24895620755799897,-0.7751046936291872,-0.43779576554768074
Jomala,2013,0.24895620755799897,-0.6217909582217475,0.6480591617140241
Jomala,2014,0.24895620755799897,-0.6641870334024095,1.0797944535405506
Jomala,2015,0.24895620755799897,-0.947672277191856,0.7297087677150532
Jomala,2016,0.24895620755799897,-1.2702579055233012,0.9537498528569324
Jomala,2017,0.24895620755799897,-0.9928214721029112,1.2773520970902013
Jomala,2018,0.24895620755799897,-1.0287291821352613,0.9310376477371467
Jomala,2019,0.24895620755799897,-0.7698443958916255,1.250946161168133
Jomala,2020,0.7591209986722856,-0.6077138815288202,1.5440612103262519
Jomala,2021,0.8438731770142242,-0.3010260855325943,1.8242905948189447
Jomala,2022,1.7698083879793285,0.007613324326691831,1.1795954102573885
Jomala,2023,1.2433538496217165,0.02022381826124439,0.8597644024965622
Joroinen,1997,-0.7542242502141202,-1.003650190102683,0.5051953679372478
Joroinen,1998,-0.8109092270045967,-0.9386655964206165,0.5051953679372478
Joroinen,1999,-0.8109092270045967,-0.9844436738929632,0.5051953679372478
Joroinen,2000,-0.8109092270045967,-1.0779171039910456,0.5051953679372478
Joroinen,2001,-0.7542242502141202,-1.1250049195293241,0.5051953679372478
Joroinen,2002,-0.8109092270045967,-0.5336103089508195,0.5051953679372478
Joroinen,2003,-0.8109092270045967,-0.8103166993009807,0.5051953679372478
Joroinen,2004,-0.41411438947126267,-0.44854251915443805,0.5051953679372478
Joroinen,2005,-0.41411438947126267,-0.4884267753300921,-0.21359966906548286
Joroinen,2006,0.11526775412248334,-0.11529615513142231,-0.2869171841900922
Joroinen,2007,0.11526775412248334,-0.03826776927467004,0.00949678680454343
Joroinen,2008,0.11526775412248334,0.008927703390463554,-0.6263939922446664
Joroinen,2009,0.3231126690208963,0.1456543987200473,-0.931295065456041
