Municipality,Year,Alcohol mortality per 100 000 inhabitants,"Entitled to special refunds on medicines for psychosis, as % of total population",Mental health visits in primary health care per 1000 inhabitants,"Psychiatric rehabilitation homes, clients on 31 Dec per population","Recipients of a disability pension due to mental and behavioural disorders aged 16-64, combined",Suicides per 100 000 inhabitants
Siikainen,2010,0.662918202345827,0.9677628295694884,-0.6692119523454981,-1.0676841870001574,0.19661987316000673,0.5864364253410072
Siikainen,2011,1.0075469481647397,0.8195009527635416,-0.690070385919692,-1.0676841870001574,0.19661987316000673,-0.3710962305903139
Siikainen,2012,1.0554120517506997,0.5229771991516488,-0.6692119523454981,-1.0676841870001574,0.30342973403696555,-0.3039009564898705
Siikainen,2013,0.3853006015472586,0.5229771991516488,-0.6984137593493696,-1.0676841870001574,0.6238593166678417,-0.7406702381427536
Siikainen,2014,0.8543786166896673,0.6712390759575949,-0.5649197844745286,-1.0676841870001574,0.41023959491392387,-0.5894808714167558
Siikainen,2015,-0.026339289291998556,0.22645344553975527,-0.6066366516229164,-1.0676841870001574,0.46364452535240364,-0.3542974120652027
Siikainen,2016,1.189434341791388,0.07819156873380849,-0.6066366516229164,-1.0676841870001574,0.6772642471063208,-0.1863092268140938
Siikainen,2017,0.308716435809722,0.374715322345702,-0.6775553257751757,-1.0676841870001574,0.35683466447544476,-0.08551631566342877
Siikainen,2018,-0.370968035110911,0.5229771991516488,-0.5148595438964632,-1.0676841870001574,0.6238593166678417,-0.5222855973163121
Siikainen,2019,0.31828945652691415,0.8195009527635416,-0.5273746040409796,-1.0676841870001574,0.46364452535240364,-0.11911395271365044
Siikainen,2020,0.6916372644974027,0.8195009527635416,-0.40639568931065495,-1.0676841870001574,0.30342973403696555,-1.345427705046746
Siikainen,2021,0.08853695931430593,0.5229771991516488,-0.4981727970371082,-1.0676841870001574,0.41023959491392387,-1.0934454271700826
Siikainen,2022,0.33743549796129846,0.5229771991516488,-0.310446894869363,-1.0676841870001574,0.08981001228304791,-0.05191867861320707
Siikainen,2023,0.33743549796129846,0.6712390759575949,-0.2353565340022649,-1.0676841870001574,0.036405081844568685,-0.05191867861320707
Siikajoki,1997,-1.6537528112146413,0.07819156873380849,-0.2270131605725873,0.305160912582191,0.48393939663914354,1.5103714442221066
Siikajoki,1998,-0.5911475116063274,-0.07007030807213796,-0.4647993033183979,-0.139356536580292,0.48393939663914354,1.0400045255190011
Siikajoki,1999,-0.8304730295361278,0.07819156873380849,-0.502344483751947,-0.12129861502892479,0.5588248660184204,1.5271702627472175
Siikajoki,2000,-0.5049903251515994,0.07819156873380849,-0.6108083383377553,0.1363771464205928,0.3881662221460979,1.0064068884687796
Siikajoki,2001,-1.012360423162776,0.07819156873380849,-0.5941215914784002,0.027535784264950257,0.4415711525845771,1.0568033440441125
Siikajoki,2002,-0.8496190709705118,-0.07007030807213796,-0.614980025052594,0.1658884536122779,0.4949760830230567,0.20006359926345638
Siikajoki,2003,-0.5241363665859833,0.07819156873380849,-0.6274950851971104,0.044787724869227906,0.4415711525845771,0.5696376068158965
Siikajoki,2004,-0.3135299108077591,0.07819156873380849,-0.6441818320564654,-0.1914455902069812,0.6017859439000149,0.5864364253410072
Siikajoki,2005,-0.08377741359515047,0.22645344553975527,-0.5482330376151735,-0.18812650461306768,0.6975591183930606,0.21686241778856752
Siikajoki,2006,-0.3039568900905669,0.374715322345702,-0.5857782180487225,-0.190994463419547,0.6975591183930606,0.5360399697656743
Siikajoki,2007,-0.6198665737579035,0.374715322345702,-0.5649197844745286,0.1855900259249958,0.85718107588147,0.30085651041412204
Siikajoki,2008,-0.6390126151922875,0.5229771991516488,-0.577434844619045,-0.18064285702894414,1.2089422161829997,-0.7070726010925318
Siikajoki,2009,-0.26566480722179897,0.5229771991516488,-0.05180231854935847,-0.18325360886577086,1.2513104602375653,0.5024423327154527
Siikajoki,2010,-0.35182199367652706,0.5229771991516488,0.01494466888806204,-0.04018461053227044,1.4324129566667727,0.09927068811279136
Siikajoki,2011,-0.08377741359515047,0.6712390759575949,-0.844422794368727,0.22648423680959026,1.688400922475256,-0.05191867861320707
Siikajoki,2012,-1.0793715681831204,0.5229771991516488,-0.8611095412280821,-0.02458027535275103,1.6558836971505457,0.015276595487236873
Siikajoki,2013,-0.4762712630000233,0.5229771991516488,-0.8611095412280821,0.6285719303647842,1.815505654638955,0.1160695066379019
Siikajoki,2014,-0.6581586566266715,0.22645344553975527,-0.8485944810835658,0.6491381916502441,1.1230200604198095,-1.0430489715947497
Siikajoki,2015,-0.993214381728392,0.22645344553975527,-0.8360794209390494,0.6679836623269774,0.9523614165474868,-0.8078655122431971
Siikajoki,2016,-0.6485856359094796,0.07819156873380849,-0.8110493006500168,0.7003293173647547,0.9308808776066895,-0.3542974120652027
Siikajoki,2017,-1.0315064645971606,0.07819156873380849,-0.7860191803609841,0.7079400810930708,0.6325246677436396,-0.08551631566342877
Siikajoki,2018,-0.8496190709705118,0.07819156873380849,-0.3813655690216223,0.7397382676430352,0.6006002762459578,-0.28710213796475936
Siikajoki,2019,-1.2229668789410006,0.07819156873380849,-0.6650402656306594,0.776273143305405,0.6006002762459578,-0.28710213796475936
Siikajoki,2020,-0.5049903251515994,0.07819156873380849,-0.6566968922009818,0.816932512328829,0.7915537914050202,-0.7406702381427536
Siikajoki,2021,-0.6294395944750953,-0.07007030807213796,-0.40639568931065495,0.8191814582707491,0.6963734507390034,-0.23670568238942657
Siikajoki,2022,-0.6390126151922875,-0.07007030807213796,0.19432719762612966,0.8696571371620068,0.7282978422366851,-0.5222855973163121
Siikajoki,2023,-0.6390126151922875,-0.21833218487808473,0.03580310246225595,0.8936886607199415,0.5152709543097966,-0.5222855973163121
Siikalatva,1997,-1.6537528112146413,1.264286583181382,0.5822940621061364,-0.5806436276125995,1.1782034923393754,1.5103714442221066
Siikalatva,1998,-0.5911475116063274,1.4125484599873281,0.5530922551022649,-0.5716390713215843,1.2101278838370573,1.0400045255190011
Siikalatva,1999,-0.8304730295361278,1.5608103367932749,-0.01008545140097065,-0.5647334122335711,1.2739766668324208,1.5271702627472175
Siikalatva,2000,-0.5049903251515994,1.7090722135992218,0.26941755849322774,-0.25068830210083837,1.1886473448962596,1.0064068884687796
Siikalatva,2001,-1.012360423162776,1.7090722135992218,0.3236494857861319,-0.5525200092602756,1.2524961278916236,1.0568033440441125
Siikalatva,2002,-0.8496190709705118,1.8573340904051685,0.24021575148935626,-0.5452174242665401,1.2635328142755364,0.20006359926345638
Siikalatva,2003,-0.5241363665859833,1.8573340904051685,0.10672177661451525,-0.11413683396925568,1.3064938921571312,0.5696376068158965
Siikalatva,2004,-0.3135299108077591,1.8573340904051685,0.06917659618096621,-0.09923326283665843,1.2211645702209704,0.5864364253410072
Siikalatva,2005,-0.08377741359515047,2.005595967211115,3.794492832531998,-0.08562166192885791,1.253088961718652,0.21686241778856752
Siikalatva,2006,-0.3039568900905669,2.302119720823008,0.44045671380161777,-0.0687436291785832,1.1996840312801724,0.5360399697656743
Siikalatva,2007,-0.6198665737579035,2.1538578440170615,0.37370972636419725,-0.06031698336873856,1.2745695006594495,0.30085651041412204
Siikalatva,2008,-0.6390126151922875,2.005595967211115,0.1859838241964521,-0.04046583109198553,1.445228144531772,-0.7070726010925318
Siikalatva,2009,-0.26566480722179897,2.302119720823008,0.36536635293451974,-0.023979409044198267,1.423747605590975,0.5024423327154527
Siikalatva,2010,-0.35182199367652706,2.302119720823008,0.7741916509887204,-0.004723486615491544,1.4986330749702512,0.09927068811279136
Siikalatva,2011,-0.08377741359515047,2.1538578440170615,-0.844422794368727,0.015971013078517792,1.2101278838370573,-0.05191867861320707
Siikalatva,2012,-1.0793715681831204,2.1538578440170615,8.412550025858529,0.030098558725540573,1.1996840312801724,0.015276595487236873
Siikalatva,2013,-0.4762712630000233,2.005595967211115,10.152143385946303,0.053714851360240554,1.1996840312801724,0.1160695066379019
Siikalatva,2014,-0.6581586566266715,2.005595967211115,6.034688598400424,0.06142603608336518,1.253088961718652,-1.0430489715947497
Siikalatva,2015,-0.993214381728392,1.8573340904051685,2.1133030864519693,0.08927092444547427,1.1456862670146648,-0.8078655122431971
Siikalatva,2016,-0.6485856359094796,1.8573340904051685,2.2968573019048755,0.10875037643828979,1.1352424144577802,-0.3542974120652027
Siikalatva,2017,-1.0315064645971606,2.005595967211115,2.2384536878971324,0.13812344429722653,1.1776106585123465,-0.08551631566342877
Siikalatva,2018,-0.8496190709705118,1.8573340904051685,2.301028988619714,0.17133376577796947,1.0708007976353877,-0.28710213796475936
Siikalatva,2019,-1.2229668789410006,2.005595967211115,1.2497639364803415,0.1879140098411445,1.0173958671969086,-0.28710213796475936
Siikalatva,2020,-0.5049903251515994,1.8573340904051685,0.9076856258635614,0.19467102493081526,0.8682177622653833,-0.7406702381427536
Siikalatva,2021,-0.6294395944750953,1.5608103367932749,0.5489205683874262,0.21238483807816086,0.4943832491960276,-0.23670568238942657
Siikalatva,2022,-0.6390126151922875,1.4125484599873281,0.5030320145241995,0.6736916114161882,0.5477881796345073,-0.5222855973163121
Siikalatva,2023,-0.6390126151922875,1.264286583181382,0.5238904480983935,0.26430408468446054,0.7927394590590775,-0.5222855973163121
Siilinjärvi,1997,-0.1699346000498788,-0.8113796921018712,0.39039647322355236,-0.5422564658066149,-0.4343882733718901,2.6526911039296475
Siilinjärvi,1998,0.39487362226445,-0.6631178152959247,0.26524587177838893,-0.5462786223863051,-0.3595028039926134,3.07266156705742
Siilinjärvi,1999,0.19384018720341825,-0.6631178152959247,0.4529717739461341,-0.47145741070414704,-0.2741734820564521,0.989608069943669
Siilinjärvi,2000,0.031098835011153684,-0.5148559384899779,0.4321133403719402,-0.5131950971007171,-0.3595028039926134,1.594365536847661
Siilinjärvi,2001,0.7107833059317871,-0.5148559384899779,0.5781223753912976,-0.5137001984983988,-0.2526929431156546,1.6783596294732155
Siilinjärvi,2002,0.4235926844160265,-0.3665940616840312,0.7116163502661387,-0.48048251805466746,-0.4233515869879771,1.2415903478203325
Siilinjärvi,2003,0.624626119477059,-0.3665940616840312,0.7366464705551713,-0.5598586470325431,-0.3165417261110182,0.6704305179665616
Siilinjärvi,2004,1.7063774605197566,-0.3665940616840312,0.6698994831177508,-0.5627448750199047,-0.306097873554134,1.0568033440441125
Siilinjärvi,2005,1.1224231967710434,-0.3665940616840312,0.6114958691100079,-0.8516766173135164,-0.15691976862260895,0.23366123631367863
Siilinjärvi,2006,1.064985072467891,-0.3665940616840312,0.5572639418171037,-0.8198084521608048,-0.15691976862260895,0.9560104328934468
Siilinjärvi,2007,2.204174537813742,-0.3665940616840312,0.44880008723129533,-0.7863226162295293,-0.07159044668644794,1.3591820774961085
Siilinjärvi,2008,2.520084221481078,-0.21833218487808473,0.35702297950484213,-0.6460279257340492,-0.05010990774565014,1.1071997996194451
Siilinjärvi,2009,1.6968044398025643,-0.21833218487808473,0.44880008723129533,-0.3018382304985849,-0.11395869074101389,1.3087856219207756
Siilinjärvi,2010,1.285164548963308,-0.21833218487808473,0.2610741850635501,-0.5119247778149566,-0.2207685516179727,-0.0015222230378742615
Siilinjärvi,2011,1.24687246609454,-0.21833218487808473,-0.06431737869387481,-0.17733080476355503,-0.1888441601202908,0.04887423253745855
Siilinjärvi,2012,1.543636108327492,-0.21833218487808473,0.12758021018870916,0.0219994663040345,-0.19988084650420404,-0.20310804533920493
Siilinjärvi,2013,0.8639516374068595,-0.21833218487808473,0.01494466888806204,-0.22173716819096195,-0.3809833429334107,0.7208269735418944
Siilinjärvi,2014,1.773388605540101,-0.21833218487808473,-0.0434589451196809,-0.05723293737678994,-0.4558688123126876,0.8552175217427818
Siilinjärvi,2015,0.7203563266489792,-0.21833218487808473,0.2902759920674216,0.10430604409652458,-0.4239444208150058,-0.3374985935400922
Siilinjärvi,2016,0.46188476728479444,-0.3665940616840312,0.23604406477451748,-0.16249755970180418,-0.47734935125348515,-0.7406702381427536
Siilinjärvi,2017,0.31828945652691415,-0.3665940616840312,0.29861936549709917,0.0780226755539714,-0.4135005682581214,0.3512529659894548
Siilinjärvi,2018,0.22255924935499405,-0.3665940616840312,0.3194777990712931,-0.09123011062278426,-0.3281712463219602,0.8384187032176706
Siilinjärvi,2019,0.8830976788412431,-0.07007030807213796,0.3236494857861319,-0.21605092580154286,-0.21091753288811715,-0.21990686386431604
Siilinjärvi,2020,1.0554120517506997,-0.21833218487808473,0.3236494857861319,-0.38086326169187384,-0.10410767201115854,-1.0934454271700826
Siilinjärvi,2021,0.5193228915879466,-0.3665940616840312,0.8159085181371082,-0.14230483683669748,0.0450704329203665,-0.690273782567421
Siilinjärvi,2022,-0.09335043431234262,-0.3665940616840312,0.8743121321448512,-0.10527442450878273,0.013146041422684688,0.26725887336390036
Siilinjärvi,2023,-0.09335043431234262,-0.21833218487808473,0.7908783978480755,-0.21073071801669485,-0.008334497518112933,0.26725887336390036
Simo,1997,-0.7826079259501678,-1.5526890761316041,-0.10186255912742385,-0.1635940306741952,-0.5522348206327619,2.266318277852097
Simo,1998,-0.8113269881017439,-1.7009509529375508,-0.24369990743194245,-0.15568521900925925,-0.49882989019428275,1.4767738071718848
Simo,1999,-0.6294395944750953,-1.5526890761316041,-0.34799207530291204,-0.1377892147953705,-0.5522348206327619,2.5518981927789817
Simo,2000,-0.25609178650460684,-1.5526890761316041,-0.4522842431738816,-0.12990267301105857,-0.5522348206327619,0.9728092514185579
Simo,2001,-0.5241363665859833,-1.4044271993256576,-0.30210352143968544,-0.10516562436982663,-0.2852101684403651,1.9135430888247684
Simo,2002,0.011952793576769717,-1.2561653225197111,-0.24369990743194245,-0.09697179781910299,-0.23180523800188593,0.9728092514185579
Simo,2003,-0.1699346000498788,-1.2561653225197111,-0.4773143634629142,-0.08600329624643571,-0.23180523800188593,2.3335135519525405
Simo,2004,0.9596818445787796,-1.2561653225197111,-0.24369990743194245,-0.0693509801789307,-0.018185516247968294,0.45204587714011985
Simo,2005,0.5097498708707546,-1.1079034457137642,-0.04763063183451969,-0.059976959457604555,0.1420292750674697,1.0064068884687796
