municipality,year,depression,involuntary_care,psychotic
Pertunmaa,2018,1.44115594898239,-0.0502412482035667,1.58806642418916
Pertunmaa,2019,2.2898554890784,-0.604517611973197,1.60637466335458
Pertunmaa,2020,2.09330472935097,-1.00814362193264,1.63506908814379
Pertunmaa,2021,1.5167388738112,-0.643044444683596,2.14087675016031
Pertunmaa,2022,1.86630989641318,-1.33318281814579,1.38732996303164
Pertunmaa,2023,1.77751186698035,-1.88972799041402,1.31563957854311
Petäjävesi,1997,-1.3135104485531,0.0982552843927836,0.902521341822808
Petäjävesi,1998,-1.28449717047119,-0.233120998179583,1.02432605236672
Petäjävesi,1999,-1.32025281478783,-0.615908043102574,0.918364575607525
Petäjävesi,2000,-1.16906248929326,0.849088052500069,0.640607672901357
Petäjävesi,2001,-1.14452149511577,0.961158027288223,0.56067632584117
Petäjävesi,2002,-1.00833179175885,1.14761701828367,0.774915715881947
Petäjävesi,2003,-0.913476579136561,0.770504690599921,0.571560799883365
Petäjävesi,2004,-0.915693215039656,-0.697938571463567,0.852326287005964
Petäjävesi,2005,-0.857238199499665,-0.695801453953899,0.386361606151677
Petäjävesi,2006,-0.681861778915675,-0.872044488974107,0.908474292155935
Petäjävesi,2007,-0.0564131040722079,-0.936351230958717,0.480627921681092
Petäjävesi,2008,0.0890379148724047,-1.30202408993511,0.813721262004218
Petäjävesi,2009,-0.244139654053386,-1.24218833932067,0.900295459414059
Petäjävesi,2010,0.49658251551696,-1.46925200562185,0.764801692153243
Petäjävesi,2011,0.487644596856362,-1.14677766479982,0.593694377432742
Petäjävesi,2012,0.407072849089319,-0.971934781278646,0.83022532745813
Petäjävesi,2013,0.50394280646069,-1.10904042471083,0.854143727713875
Petäjävesi,2014,0.324222098101221,-1.14584827027505,0.887911221153774
Petäjävesi,2015,0.551961642511041,-0.824039909442964,0.642817321251573
Petäjävesi,2016,0.817011989666506,-0.780236269377437,0.0159730807363394
Petäjävesi,2017,1.07161582935975,-0.626043180905204,-0.225095822824918
Petäjävesi,2018,0.683782634813991,-0.425023188816438,0.0880367572181557
Petäjävesi,2019,1.16048526544191,-0.351945411474874,0.259218313771796
Petäjävesi,2020,1.34280592299204,-1.67745480143923,0.110198014412606
Petäjävesi,2021,2.21038993281266,-1.68085216530631,-0.0234236355927967
Petäjävesi,2022,2.39610081172586,-1.55806044926312,0.0734897630675249
Petäjävesi,2023,1.46590048317852,-1.76242717330861,0.150526760559828
Pieksämäki,1997,-0.716155172786583,0.694814972398303,0.711003621521453
Pieksämäki,1998,-0.700669799928364,1.59402786857108,0.972434726360248
Pieksämäki,1999,-0.456201707102294,0.923291673296027,1.02712863953461
Pieksämäki,2000,-0.291349738122305,1.1209317053536,1.22023433498091
Pieksämäki,2001,-0.26182430740992,0.941621971652378,1.1890701056862
Pieksämäki,2002,-0.199897250306026,0.975976861537981,1.78446923542121
Pieksämäki,2003,-0.178245367551214,2.48162591567584,1.86934391824981
Pieksämäki,2004,-0.0968578727394162,2.58080882301163,1.48260124259991
Pieksämäki,2005,-0.138590602756902,2.4901025000149,1.89070805123055
Pieksämäki,2006,-0.0482819382983418,2.28381217188007,2.0750218890259
Pieksämäki,2007,0.199993958622472,1.3921310639596,3.38385605241997
Pieksämäki,2008,0.167924203619646,0.530149173576056,2.24548829165362
Pieksämäki,2009,-0.00093847418071318,0.449304137710337,1.74071405381908
Pieksämäki,2010,0.149950160437754,0.580885505999153,1.52855276275599
Pieksämäki,2011,0.351245006784445,0.203869772446072,1.28395546546097
Pieksämäki,2012,0.34312936733914,0.0395210968428777,1.35187834860165
Pieksämäki,2013,0.223483934371493,0.533766498859087,1.44735657975183
Pieksämäki,2014,0.165089613787094,0.00171949244029841,1.5644291781242
Pieksämäki,2015,0.2326167806739,0.829549565045455,1.4680456557167
Pieksämäki,2016,0.204452755063423,-0.0406320824623093,1.97261565558715
Pieksämäki,2017,0.789064406723869,0.729283522785217,1.3874535995045
Pieksämäki,2018,1.33425997524326,0.536846123557471,1.55494284420097
Pieksämäki,2019,1.64948622503998,-0.29073115318496,1.86029289969726
Pieksämäki,2020,2.10493241247888,-1.29064142010081,1.56352270884033
Pieksämäki,2021,3.23390907192307,-0.834619550158855,2.03868819674842
Pieksämäki,2022,3.42632540273869,-0.871987026619778,1.30307127045447
Pieksämäki,2023,3.64347760200125,-0.751093338249181,1.25173875921821
Pielavesi,1997,-0.725874490161244,0.783995901198999,1.06268688133353
Pielavesi,1998,-0.491837213917435,0.944104421814613,1.37821137240144
Pielavesi,1999,-0.494128235999679,0.977600070364593,0.889404244471412
Pielavesi,2000,-0.326335329931637,0.659664402046103,1.04958733630705
Pielavesi,2001,-0.341588600347324,1.07455146274943,1.37293956814313
Pielavesi,2002,-0.277736011213988,0.886720125250626,1.43527132795193
Pielavesi,2003,-0.302279736254729,0.404432416745229,1.30812011311082
Pielavesi,2004,-0.148524157177603,0.898608572322411,2.01361030279334
Pielavesi,2005,-0.309717412605769,1.3724559124247,1.81460840949734
Pielavesi,2006,0.126629115480061,1.14766952233883,1.93004314264797
Pielavesi,2007,0.476973415539183,0.903338146521159,2.27611810694208
Pielavesi,2008,0.255952639735611,0.645351305476358,2.23066567999576
Pielavesi,2009,0.108775716592125,-0.0730681116656407,2.15270002875329
Pielavesi,2010,0.212973532168693,0.0053299821602625,1.73946833552005
Pielavesi,2011,-0.00502658617364011,-0.094006413520767,1.79125676033772
Pielavesi,2012,0.264657066765723,0.126345035424248,1.80092435412704
Pielavesi,2013,-0.0724815538535245,0.479998132792284,1.76373133702896
Pielavesi,2014,0.0395378400521436,0.623112561482796,2.15668673392431
Pielavesi,2015,0.552010048283212,0.572665988408946,1.79613683250929
Pielavesi,2016,0.306040353978466,0.172642302096239,1.53757908961497
Pielavesi,2017,0.88674013009123,0.751140535983419,1.84758068939272
Pielavesi,2018,0.94881234775534,0.710528541864854,1.68149283149294
Pielavesi,2019,1.6892601199553,1.13291059009898,1.86343953296393
Pielavesi,2020,1.52328381162452,1.28010315848723,1.69027945244462
Pielavesi,2021,2.38194492288384,1.23748246625148,1.47903509742196
Pielavesi,2022,2.30435653754422,1.7435217099995,1.75072734597535
Pielavesi,2023,2.8337490775731,1.7597402349565,1.72433113441146
Pihtipudas,1997,-0.836198589588579,0.0559954017194023,0.845246551215461
Pihtipudas,1998,-0.819983732070208,0.442922056223937,0.934356709111112
Pihtipudas,1999,-0.777919385146722,-0.0135016108623407,1.00587127766607
Pihtipudas,2000,-0.728516867757512,0.231130114355226,0.879165856957631
Pihtipudas,2001,-0.587029054905881,0.692025634087723,0.798509005879465
Pihtipudas,2002,-0.610766850411811,0.0856139612834183,1.05348422700713
Pihtipudas,2003,-0.497741765248565,0.0173434478076148,1.28028213701992
Pihtipudas,2004,-0.373572641565613,0.0160814432257584,1.71985937874962
Pihtipudas,2005,-0.512351939992977,-0.147636963241602,1.15551385840351
Pihtipudas,2006,-0.00369331186508957,0.00210911473978252,1.33226688364294
Pihtipudas,2007,0.299416850093902,-0.201520092689756,1.55540040659006
Pihtipudas,2008,0.566187204869812,-0.272745161761666,1.80453794142145
Pihtipudas,2009,0.0762256476011621,-0.738783010188103,1.63700870191199
Pihtipudas,2010,0.545672398515521,-0.89314605869372,1.42407286954365
Pihtipudas,2011,0.723999192294223,-0.687019759894428,1.65583716938833
Pihtipudas,2012,0.468723938424692,-0.645327410174748,1.28182929655301
Pihtipudas,2013,0.106931355067626,-1.73581977145959,1.01523086166908
Pihtipudas,2014,0.230181477723909,-0.553360881667674,0.792366470082028
Pihtipudas,2015,0.10488205201145,-0.540324612057768,0.524493594164752
