"Year","Municipality","Type of debt","Household-dwelling units","Debts (euros)","Debts, mean (euros)"
"2002","Marttila","Debts total","All household-dwelling units",35328414,39429
"2002","Marttila","Housing loans","All household-dwelling units",12885130,14381
"2002","Marttila","Other debts","All household-dwelling units",6458006,7208
"2002","Marttila","Loans charged on business activities or a source of income","All household-dwelling units",15702204,17525
"2002","Marttila","Study loans","All household-dwelling units",283078,316
"2002","Oripää","Debts total","All household-dwelling units",23572839,40022
"2002","Oripää","Housing loans","All household-dwelling units",7975086,13540
"2002","Oripää","Other debts","All household-dwelling units",3531034,5995
"2002","Oripää","Loans charged on business activities or a source of income","All household-dwelling units",11890360,20187
"2002","Oripää","Study loans","All household-dwelling units",176364,299
"2002","Pöytyä","Debts total","All household-dwelling units",124280166,35377
"2002","Pöytyä","Housing loans","All household-dwelling units",54059372,15388
"2002","Pöytyä","Other debts","All household-dwelling units",28981096,8250
"2002","Pöytyä","Loans charged on business activities or a source of income","All household-dwelling units",39978372,11380
"2002","Pöytyä","Study loans","All household-dwelling units",1261347,359
"2002","Salo","Debts total","All household-dwelling units",788654352,32502
"2002","Salo","Housing loans","All household-dwelling units",490308040,20206
"2002","Salo","Other debts","All household-dwelling units",138809969,5721
"2002","Salo","Loans charged on business activities or a source of income","All household-dwelling units",146709175,6046
"2002","Salo","Study loans","All household-dwelling units",12827304,529
"2002","Somero","Debts total","All household-dwelling units",151569296,34892
"2002","Somero","Housing loans","All household-dwelling units",59966490,13804
"2002","Somero","Other debts","All household-dwelling units",28291685,6513
"2002","Somero","Loans charged on business activities or a source of income","All household-dwelling units",61666773,14196
"2002","Somero","Study loans","All household-dwelling units",1644403,379
"2002","Kaarina","Debts total","All household-dwelling units",460399395,40101
"2002","Kaarina","Housing loans","All household-dwelling units",338101727,29449
"2002","Kaarina","Other debts","All household-dwelling units",84537427,7363
"2002","Kaarina","Loans charged on business activities or a source of income","All household-dwelling units",29965798,2610
"2002","Kaarina","Study loans","All household-dwelling units",7794440,679
"2002","Lieto","Debts total","All household-dwelling units",280612745,43791
"2002","Lieto","Housing loans","All household-dwelling units",195788535,30554
"2002","Lieto","Other debts","All household-dwelling units",48442636,7560
"2002","Lieto","Loans charged on business activities or a source of income","All household-dwelling units",32469609,5067
"2002","Lieto","Study loans","All household-dwelling units",3911967,610
"2002","Masku","Debts total","All household-dwelling units",151456395,50201
"2002","Masku","Housing loans","All household-dwelling units",105698521,35034
"2002","Masku","Other debts","All household-dwelling units",29131905,9656
"2002","Masku","Loans charged on business activities or a source of income","All household-dwelling units",15002023,4972
"2002","Masku","Study loans","All household-dwelling units",1623931,538
"2002","Mynämäki","Debts total","All household-dwelling units",137106752,41272
"2002","Mynämäki","Housing loans","All household-dwelling units",67797436,20409
"2002","Mynämäki","Other debts","All household-dwelling units",29482766,8875
"2002","Mynämäki","Loans charged on business activities or a source of income","All household-dwelling units",38524867,11597
"2002","Mynämäki","Study loans","All household-dwelling units",1301698,392
"2002","Naantali","Debts total","All household-dwelling units",310522606,40896
"2002","Naantali","Housing loans","All household-dwelling units",192951821,25412
"2002","Naantali","Other debts","All household-dwelling units",69137746,9105
"2002","Naantali","Loans charged on business activities or a source of income","All household-dwelling units",44307744,5835
"2002","Naantali","Study loans","All household-dwelling units",4125325,543
"2002","Nousiainen","Debts total","All household-dwelling units",76453793,46533
"2002","Nousiainen","Housing loans","All household-dwelling units",46276602,28166
"2002","Nousiainen","Other debts","All household-dwelling units",15664816,9534
"2002","Nousiainen","Loans charged on business activities or a source of income","All household-dwelling units",13953064,8492
"2002","Nousiainen","Study loans","All household-dwelling units",559338,340
"2002","Paimio","Debts total","All household-dwelling units",161754393,38596
"2002","Paimio","Housing loans","All household-dwelling units",93615033,22337
"2002","Paimio","Other debts","All household-dwelling units",48622434,11602
"2002","Paimio","Loans charged on business activities or a source of income","All household-dwelling units",17051140,4069
"2002","Paimio","Study loans","All household-dwelling units",2465813,588
"2002","Raisio","Debts total","All household-dwelling units",337648999,32620
"2002","Raisio","Housing loans","All household-dwelling units",245584333,23726
"2002","Raisio","Other debts","All household-dwelling units",64380656,6220
