"Year","Municipality","Type of debt","Household-dwelling units","Debts (euros)","Debts, mean (euros)"
"2012","Muhos","Debts total","All household-dwelling units",219989551,63252
"2012","Muhos","Housing loans","All household-dwelling units",160448750,46132
"2012","Muhos","Other debts","All household-dwelling units",46787120,13452
"2012","Muhos","Loans charged on business activities or a source of income","All household-dwelling units",10494532,3017
"2012","Muhos","Study loans","All household-dwelling units",2259146,650
"2012","Oulu","Debts total","All household-dwelling units",4579012192,51073
"2012","Oulu","Housing loans","All household-dwelling units",3574573947,39870
"2012","Oulu","Other debts","All household-dwelling units",690532971,7702
"2012","Oulu","Loans charged on business activities or a source of income","All household-dwelling units",190458741,2124
"2012","Oulu","Study loans","All household-dwelling units",123446789,1377
"2012","Tyrnävä","Debts total","All household-dwelling units",177729530,80239
"2012","Tyrnävä","Housing loans","All household-dwelling units",130190358,58777
"2012","Tyrnävä","Other debts","All household-dwelling units",38368191,17322
"2012","Tyrnävä","Loans charged on business activities or a source of income","All household-dwelling units",7505108,3388
"2012","Tyrnävä","Study loans","All household-dwelling units",1665887,752
"2012","Ii","Debts total","All household-dwelling units",229932516,57440
"2012","Ii","Housing loans","All household-dwelling units",171158852,42758
"2012","Ii","Other debts","All household-dwelling units",41672586,10410
"2012","Ii","Loans charged on business activities or a source of income","All household-dwelling units",15067122,3764
"2012","Ii","Study loans","All household-dwelling units",2033954,508
"2012","Pudasjärvi","Debts total","All household-dwelling units",105632160,27437
"2012","Pudasjärvi","Housing loans","All household-dwelling units",59544278,15466
"2012","Pudasjärvi","Other debts","All household-dwelling units",35831465,9307
"2012","Pudasjärvi","Loans charged on business activities or a source of income","All household-dwelling units",8889987,2309
"2012","Pudasjärvi","Study loans","All household-dwelling units",1366426,355
"2012","Utajärvi","Debts total","All household-dwelling units",53099228,41003
"2012","Utajärvi","Housing loans","All household-dwelling units",26554752,20506
"2012","Utajärvi","Other debts","All household-dwelling units",19977442,15427
"2012","Utajärvi","Loans charged on business activities or a source of income","All household-dwelling units",6024215,4652
"2012","Utajärvi","Study loans","All household-dwelling units",542832,419
"2012","Vaala","Debts total","All household-dwelling units",51326387,32423
"2012","Vaala","Housing loans","All household-dwelling units",23732151,14992
"2012","Vaala","Other debts","All household-dwelling units",23983343,15151
"2012","Vaala","Loans charged on business activities or a source of income","All household-dwelling units",3042032,1922
"2012","Vaala","Study loans","All household-dwelling units",568880,359
"2012","Pyhäjoki","Debts total","All household-dwelling units",64089218,45101
"2012","Pyhäjoki","Housing loans","All household-dwelling units",36865977,25944
"2012","Pyhäjoki","Other debts","All household-dwelling units",19677177,13847
"2012","Pyhäjoki","Loans charged on business activities or a source of income","All household-dwelling units",7048527,4960
"2012","Pyhäjoki","Study loans","All household-dwelling units",497539,350
"2012","Raahe","Debts total","All household-dwelling units",475737692,41304
"2012","Raahe","Housing loans","All household-dwelling units",349746607,30365
"2012","Raahe","Other debts","All household-dwelling units",95709044,8310
"2012","Raahe","Loans charged on business activities or a source of income","All household-dwelling units",23360678,2028
"2012","Raahe","Study loans","All household-dwelling units",6921329,601
"2012","Siikajoki","Debts total","All household-dwelling units",134637094,59103
"2012","Siikajoki","Housing loans","All household-dwelling units",63413414,27837
"2012","Siikajoki","Other debts","All household-dwelling units",50523111,22179
"2012","Siikajoki","Loans charged on business activities or a source of income","All household-dwelling units",19521862,8570
"2012","Siikajoki","Study loans","All household-dwelling units",1178725,517
"2012","Alavieska","Debts total","All household-dwelling units",58490474,51945
"2012","Alavieska","Housing loans","All household-dwelling units",31951880,28376
"2012","Alavieska","Other debts","All household-dwelling units",19068289,16935
"2012","Alavieska","Loans charged on business activities or a source of income","All household-dwelling units",6966609,6187
"2012","Alavieska","Study loans","All household-dwelling units",503712,447
"2012","Kalajoki","Debts total","All household-dwelling units",325363713,61915
"2012","Kalajoki","Housing loans","All household-dwelling units",199510911,37966
"2012","Kalajoki","Other debts","All household-dwelling units",87732861,16695
"2012","Kalajoki","Loans charged on business activities or a source of income","All household-dwelling units",35234921,6705
"2012","Kalajoki","Study loans","All household-dwelling units",2885086,549
"2012","Merijärvi","Debts total","All household-dwelling units",22471619,50160
"2012","Merijärvi","Housing loans","All household-dwelling units",10055341,22445
"2012","Merijärvi","Other debts","All household-dwelling units",7342452,16389
"2012","Merijärvi","Loans charged on business activities or a source of income","All household-dwelling units",4876974,10886
"2012","Merijärvi","Study loans","All household-dwelling units",196874,439
"2012","Oulainen","Debts total","All household-dwelling units",164000793,47399
"2012","Oulainen","Housing loans","All household-dwelling units",108744688,31429
"2012","Oulainen","Other debts","All household-dwelling units",37982141,10977
"2012","Oulainen","Loans charged on business activities or a source of income","All household-dwelling units",15400392,4451
"2012","Oulainen","Study loans","All household-dwelling units",1873570,541
"2012","Sievi","Debts total","All household-dwelling units",117806224,63099
"2012","Sievi","Housing loans","All household-dwelling units",64084298,34325
"2012","Sievi","Other debts","All household-dwelling units",38567234,20657
"2012","Sievi","Loans charged on business activities or a source of income","All household-dwelling units",14408992,7718
"2012","Sievi","Study loans","All household-dwelling units",745698,399
"2012","Ylivieska","Debts total","All household-dwelling units",383570935,59220
"2012","Ylivieska","Housing loans","All household-dwelling units",280442593,43298
"2012","Ylivieska","Other debts","All household-dwelling units",73768526,11389
"2012","Ylivieska","Loans charged on business activities or a source of income","All household-dwelling units",24311349,3753
"2012","Ylivieska","Study loans","All household-dwelling units",5048494,779
"2012","Kajaani","Debts total","All household-dwelling units",769755022,41581
"2012","Kajaani","Housing loans","All household-dwelling units",592025536,31981
"2012","Kajaani","Other debts","All household-dwelling units",135304505,7309
"2012","Kajaani","Loans charged on business activities or a source of income","All household-dwelling units",27107010,1464
"2012","Kajaani","Study loans","All household-dwelling units",15317981,827
"2012","Paltamo","Debts total","All household-dwelling units",53388551,29529
"2012","Paltamo","Housing loans","All household-dwelling units",33522008,18541
"2012","Paltamo","Other debts","All household-dwelling units",16603212,9183
"2012","Paltamo","Loans charged on business activities or a source of income","All household-dwelling units",2433694,1346
"2012","Paltamo","Study loans","All household-dwelling units",829645,459
"2012","Ristijärvi","Debts total","All household-dwelling units",17346497,24781
"2012","Ristijärvi","Housing loans","All household-dwelling units",11395483,16279
"2012","Ristijärvi","Other debts","All household-dwelling units",4547697,6497
"2012","Ristijärvi","Loans charged on business activities or a source of income","All household-dwelling units",1223214,1747
"2012","Ristijärvi","Study loans","All household-dwelling units",180114,257
"2012","Sotkamo","Debts total","All household-dwelling units",258492815,52252
"2012","Sotkamo","Housing loans","All household-dwelling units",179841879,36354
"2012","Sotkamo","Other debts","All household-dwelling units",58466256,11819
"2012","Sotkamo","Loans charged on business activities or a source of income","All household-dwelling units",17794067,3597
"2012","Sotkamo","Study loans","All household-dwelling units",2390593,483
"2012","Hyrynsalmi","Debts total","All household-dwelling units",21808578,16985
"2012","Hyrynsalmi","Housing loans","All household-dwelling units",11506442,8961
"2012","Hyrynsalmi","Other debts","All household-dwelling units",7820851,6091
"2012","Hyrynsalmi","Loans charged on business activities or a source of income","All household-dwelling units",2074787,1616
"2012","Hyrynsalmi","Study loans","All household-dwelling units",406504,317
"2012","Kuhmo","Debts total","All household-dwelling units",115014125,25173
"2012","Kuhmo","Housing loans","All household-dwelling units",72568231,15883
"2012","Kuhmo","Other debts","All household-dwelling units",31918429,6986
"2012","Kuhmo","Loans charged on business activities or a source of income","All household-dwelling units",8951313,1959
"2012","Kuhmo","Study loans","All household-dwelling units",1576149,345
"2012","Puolanka","Debts total","All household-dwelling units",34483500,23458
"2012","Puolanka","Housing loans","All household-dwelling units",13309666,9054
"2012","Puolanka","Other debts","All household-dwelling units",15451601,10511
"2012","Puolanka","Loans charged on business activities or a source of income","All household-dwelling units",5298915,3605
"2012","Puolanka","Study loans","All household-dwelling units",423323,288
"2012","Suomussalmi","Debts total","All household-dwelling units",105549707,24461
"2012","Suomussalmi","Housing loans","All household-dwelling units",67229906,15581
"2012","Suomussalmi","Other debts","All household-dwelling units",31333615,7262
"2012","Suomussalmi","Loans charged on business activities or a source of income","All household-dwelling units",5440010,1261
"2012","Suomussalmi","Study loans","All household-dwelling units",1546207,358
"2012","Kemijärvi","Debts total","All household-dwelling units",73419276,17506
"2012","Kemijärvi","Housing loans","All household-dwelling units",43844242,10454
"2012","Kemijärvi","Other debts","All household-dwelling units",24490412,5839
"2012","Kemijärvi","Loans charged on business activities or a source of income","All household-dwelling units",3919843,935
"2012","Kemijärvi","Study loans","All household-dwelling units",1164806,278
"2012","Pelkosenniemi","Debts total","All household-dwelling units",9767652,19003
"2012","Pelkosenniemi","Housing loans","All household-dwelling units",6356595,12367
"2012","Pelkosenniemi","Other debts","All household-dwelling units",2728423,5308
"2012","Pelkosenniemi","Loans charged on business activities or a source of income","All household-dwelling units",466033,907
"2012","Pelkosenniemi","Study loans","All household-dwelling units",216611,421
"2012","Posio","Debts total","All household-dwelling units",42838140,25423
"2012","Posio","Housing loans","All household-dwelling units",18643936,11065
"2012","Posio","Other debts","All household-dwelling units",19483881,11563
"2012","Posio","Loans charged on business activities or a source of income","All household-dwelling units",4033758,2394
"2012","Posio","Study loans","All household-dwelling units",676560,402
"2012","Salla","Debts total","All household-dwelling units",39217186,20122
"2012","Salla","Housing loans","All household-dwelling units",21055753,10803
"2012","Salla","Other debts","All household-dwelling units",15315371,7858
"2012","Salla","Loans charged on business activities or a source of income","All household-dwelling units",2229594,1144
"2012","Salla","Study loans","All household-dwelling units",616508,316
"2012","Savukoski","Debts total","All household-dwelling units",12418612,23431
"2012","Savukoski","Housing loans","All household-dwelling units",5681783,10720
"2012","Savukoski","Other debts","All household-dwelling units",5197749,9807
"2012","Savukoski","Loans charged on business activities or a source of income","All household-dwelling units",1276528,2409
"2012","Savukoski","Study loans","All household-dwelling units",262543,495
"2012","Kemi","Debts total","All household-dwelling units",354662744,30593
"2012","Kemi","Housing loans","All household-dwelling units",264465991,22813
"2012","Kemi","Other debts","All household-dwelling units",67956976,5862
"2012","Kemi","Loans charged on business activities or a source of income","All household-dwelling units",12401989,1070
"2012","Kemi","Study loans","All household-dwelling units",9837808,849
"2012","Keminmaa","Debts total","All household-dwelling units",189706067,50575
"2012","Keminmaa","Housing loans","All household-dwelling units",139049934,37070
"2012","Keminmaa","Other debts","All household-dwelling units",39093629,10422
"2012","Keminmaa","Loans charged on business activities or a source of income","All household-dwelling units",9645758,2572
"2012","Keminmaa","Study loans","All household-dwelling units",1916793,511
"2012","Simo","Debts total","All household-dwelling units",53102449,35759
"2012","Simo","Housing loans","All household-dwelling units",34732619,23389
"2012","Simo","Other debts","All household-dwelling units",15332435,10325
"2012","Simo","Loans charged on business activities or a source of income","All household-dwelling units",2445711,1647
"2012","Simo","Study loans","All household-dwelling units",591722,398
"2012","Tervola","Debts total","All household-dwelling units",62246167,40367
"2012","Tervola","Housing loans","All household-dwelling units",29416115,19077
"2012","Tervola","Other debts","All household-dwelling units",26876586,17430
"2012","Tervola","Loans charged on business activities or a source of income","All household-dwelling units",5332946,3458
"2012","Tervola","Study loans","All household-dwelling units",620504,402
"2012","Tornio","Debts total","All household-dwelling units",530322438,52125
"2012","Tornio","Housing loans","All household-dwelling units",378003686,37154
"2012","Tornio","Other debts","All household-dwelling units",115164103,11319
"2012","Tornio","Loans charged on business activities or a source of income","All household-dwelling units",29843880,2933
"2012","Tornio","Study loans","All household-dwelling units",7310838,719
"2012","Inari","Debts total","All household-dwelling units",114589495,36080
"2012","Inari","Housing loans","All household-dwelling units",75125305,23654
"2012","Inari","Other debts","All household-dwelling units",31860910,10032
"2012","Inari","Loans charged on business activities or a source of income","All household-dwelling units",5493675,1730
"2012","Inari","Study loans","All household-dwelling units",2109632,664
"2012","Sodankylä","Debts total","All household-dwelling units",137420872,33403
"2012","Sodankylä","Housing loans","All household-dwelling units",90772216,22064
"2012","Sodankylä","Other debts","All household-dwelling units",37010301,8996
"2012","Sodankylä","Loans charged on business activities or a source of income","All household-dwelling units",7526983,1830
"2012","Sodankylä","Study loans","All household-dwelling units",2111369,513
"2012","Utsjoki","Debts total","All household-dwelling units",21588519,36041
"2012","Utsjoki","Housing loans","All household-dwelling units",10971520,18316
"2012","Utsjoki","Other debts","All household-dwelling units",8541246,14259
"2012","Utsjoki","Loans charged on business activities or a source of income","All household-dwelling units",1415977,2364
"2012","Utsjoki","Study loans","All household-dwelling units",659788,1101
"2012","Ranua","Debts total","All household-dwelling units",50977094,29467
"2012","Ranua","Housing loans","All household-dwelling units",25428884,14699
"2012","Ranua","Other debts","All household-dwelling units",20016413,11570
"2012","Ranua","Loans charged on business activities or a source of income","All household-dwelling units",4620872,2671
"2012","Ranua","Study loans","All household-dwelling units",910914,527
"2012","Rovaniemi","Debts total","All household-dwelling units",1365602434,46576
"2012","Rovaniemi","Housing loans","All household-dwelling units",1033883376,35262
"2012","Rovaniemi","Other debts","All household-dwelling units",226331567,7719
"2012","Rovaniemi","Loans charged on business activities or a source of income","All household-dwelling units",69041719,2355
"2012","Rovaniemi","Study loans","All household-dwelling units",36345827,1240
"2012","Pello","Debts total","All household-dwelling units",43048991,23447
"2012","Pello","Housing loans","All household-dwelling units",26241412,14293
"2012","Pello","Other debts","All household-dwelling units",13741425,7484
"2012","Pello","Loans charged on business activities or a source of income","All household-dwelling units",2414854,1315
"2012","Pello","Study loans","All household-dwelling units",651310,355
"2012","Ylitornio","Debts total","All household-dwelling units",72470256,33691
"2012","Ylitornio","Housing loans","All household-dwelling units",35056833,16298
"2012","Ylitornio","Other debts","All household-dwelling units",26323046,12238
"2012","Ylitornio","Loans charged on business activities or a source of income","All household-dwelling units",10044504,4670
"2012","Ylitornio","Study loans","All household-dwelling units",1045884,486
"2012","Enontekiö","Debts total","All household-dwelling units",26930501,31134
"2012","Enontekiö","Housing loans","All household-dwelling units",16367326,18922
"2012","Enontekiö","Other debts","All household-dwelling units",9266395,10713
"2012","Enontekiö","Loans charged on business activities or a source of income","All household-dwelling units",812801,940
"2012","Enontekiö","Study loans","All household-dwelling units",483980,560
"2012","Kittilä","Debts total","All household-dwelling units",141853823,47253
"2012","Kittilä","Housing loans","All household-dwelling units",99883505,33272
"2012","Kittilä","Other debts","All household-dwelling units",31386467,10455
"2012","Kittilä","Loans charged on business activities or a source of income","All household-dwelling units",8704894,2900
"2012","Kittilä","Study loans","All household-dwelling units",1879007,626
"2012","Kolari","Debts total","All household-dwelling units",59065890,32906
"2012","Kolari","Housing loans","All household-dwelling units",38258462,21314
"2012","Kolari","Other debts","All household-dwelling units",16810424,9365
"2012","Kolari","Loans charged on business activities or a source of income","All household-dwelling units",2891703,1611
"2012","Kolari","Study loans","All household-dwelling units",1105294,616
"2012","Muonio","Debts total","All household-dwelling units",38204282,37128
"2012","Muonio","Housing loans","All household-dwelling units",28605777,27800
"2012","Muonio","Other debts","All household-dwelling units",8265080,8032
"2012","Muonio","Loans charged on business activities or a source of income","All household-dwelling units",955284,928
"2012","Muonio","Study loans","All household-dwelling units",378147,367
"2012","Maarianhamina - Mariehamn","Debts total","All household-dwelling units",332522303,57700
"2012","Maarianhamina - Mariehamn","Housing loans","All household-dwelling units",251412254,43625
"2012","Maarianhamina - Mariehamn","Other debts","All household-dwelling units",56626097,9826
"2012","Maarianhamina - Mariehamn","Loans charged on business activities or a source of income","All household-dwelling units",17066098,2961
"2012","Maarianhamina - Mariehamn","Study loans","All household-dwelling units",7417874,1287
"2012","Eckerö","Debts total","All household-dwelling units",26860813,59295
"2012","Eckerö","Housing loans","All household-dwelling units",18990481,41922
"2012","Eckerö","Other debts","All household-dwelling units",5170978,11415
"2012","Eckerö","Loans charged on business activities or a source of income","All household-dwelling units",2394839,5287
"2012","Eckerö","Study loans","All household-dwelling units",304502,672
"2012","Finström","Debts total","All household-dwelling units",86127171,79674
"2012","Finström","Housing loans","All household-dwelling units",62726929,58027
"2012","Finström","Other debts","All household-dwelling units",17733631,16405
"2012","Finström","Loans charged on business activities or a source of income","All household-dwelling units",4699776,4348
"2012","Finström","Study loans","All household-dwelling units",966856,894
"2012","Geta","Debts total","All household-dwelling units",14031856,64072
"2012","Geta","Housing loans","All household-dwelling units",9045261,41303
"2012","Geta","Other debts","All household-dwelling units",3340403,15253
"2012","Geta","Loans charged on business activities or a source of income","All household-dwelling units",1443956,6593
"2012","Geta","Study loans","All household-dwelling units",202222,923
"2012","Hammarland","Debts total","All household-dwelling units",48870908,74047
"2012","Hammarland","Housing loans","All household-dwelling units",33654252,50991
"2012","Hammarland","Other debts","All household-dwelling units",11069363,16772
"2012","Hammarland","Loans charged on business activities or a source of income","All household-dwelling units",3470639,5259
"2012","Hammarland","Study loans","All household-dwelling units",676666,1025
"2012","Jomala","Debts total","All household-dwelling units",196948654,114173
"2012","Jomala","Housing loans","All household-dwelling units",153076364,88740
"2012","Jomala","Other debts","All household-dwelling units",31084607,18020
"2012","Jomala","Loans charged on business activities or a source of income","All household-dwelling units",10764686,6240
"2012","Jomala","Study loans","All household-dwelling units",2023019,1173
"2012","Lemland","Debts total","All household-dwelling units",75244958,102934
"2012","Lemland","Housing loans","All household-dwelling units",57409652,78536
"2012","Lemland","Other debts","All household-dwelling units",13781237,18853
"2012","Lemland","Loans charged on business activities or a source of income","All household-dwelling units",3079675,4213
"2012","Lemland","Study loans","All household-dwelling units",974406,1333
"2012","Lumparland","Debts total","All household-dwelling units",14453273,80745
"2012","Lumparland","Housing loans","All household-dwelling units",9222080,51520
"2012","Lumparland","Other debts","All household-dwelling units",4575954,25564
"2012","Lumparland","Loans charged on business activities or a source of income","All household-dwelling units",515756,2881
"2012","Lumparland","Study loans","All household-dwelling units",139486,779
"2012","Saltvik","Debts total","All household-dwelling units",62178595,76199
"2012","Saltvik","Housing loans","All household-dwelling units",43753868,53620
"2012","Saltvik","Other debts","All household-dwelling units",12143695,14882
"2012","Saltvik","Loans charged on business activities or a source of income","All household-dwelling units",5551628,6803
"2012","Saltvik","Study loans","All household-dwelling units",729406,894
"2012","Sund","Debts total","All household-dwelling units",32596716,67349
"2012","Sund","Housing loans","All household-dwelling units",23583718,48727
"2012","Sund","Other debts","All household-dwelling units",6550064,13533
"2012","Sund","Loans charged on business activities or a source of income","All household-dwelling units",2039255,4213
"2012","Sund","Study loans","All household-dwelling units",423672,875
"2012","Brändö","Debts total","All household-dwelling units",9874567,44083
"2012","Brändö","Housing loans","All household-dwelling units",6114938,27299
"2012","Brändö","Other debts","All household-dwelling units",3115287,13908
"2012","Brändö","Loans charged on business activities or a source of income","All household-dwelling units",524947,2344
"2012","Brändö","Study loans","All household-dwelling units",119392,533
"2012","Föglö","Debts total","All household-dwelling units",12102531,44170
"2012","Föglö","Housing loans","All household-dwelling units",5385771,19656
"2012","Föglö","Other debts","All household-dwelling units",5104899,18631
"2012","Föglö","Loans charged on business activities or a source of income","All household-dwelling units",1390389,5074
"2012","Föglö","Study loans","All household-dwelling units",221470,808
"2012","Kumlinge","Debts total","All household-dwelling units",6943398,42081
"2012","Kumlinge","Housing loans","All household-dwelling units",4154449,25178
"2012","Kumlinge","Other debts","All household-dwelling units",2331594,14131
"2012","Kumlinge","Loans charged on business activities or a source of income","All household-dwelling units",342745,2077
"2012","Kumlinge","Study loans","All household-dwelling units",114607,695
"2012","Kökar","Debts total","All household-dwelling units",4779830,39179
"2012","Kökar","Housing loans","All household-dwelling units",2293241,18797
"2012","Kökar","Other debts","All household-dwelling units",1556547,12759
"2012","Kökar","Loans charged on business activities or a source of income","All household-dwelling units",896219,7346
"2012","Kökar","Study loans","All household-dwelling units",33819,277
"2012","Sottunga","Debts total","All household-dwelling units",1585045,31079
"2012","Sottunga","Housing loans","All household-dwelling units",796804,15624
"2012","Sottunga","Other debts","All household-dwelling units",378102,7414
"2012","Sottunga","Loans charged on business activities or a source of income","All household-dwelling units",374265,7339
"2012","Sottunga","Study loans","All household-dwelling units",...,...
"2012","Vårdö","Debts total","All household-dwelling units",13665736,73869
"2012","Vårdö","Housing loans","All household-dwelling units",6357242,34363
"2012","Vårdö","Other debts","All household-dwelling units",5632764,30447
"2012","Vårdö","Loans charged on business activities or a source of income","All household-dwelling units",1518422,8208
"2012","Vårdö","Study loans","All household-dwelling units",157316,850
"2013","Espoo","Debts total","All household-dwelling units",8714042259,76579
"2013","Espoo","Housing loans","All household-dwelling units",6926618508,60871
"2013","Espoo","Other debts","All household-dwelling units",1284663029,11290
"2013","Espoo","Loans charged on business activities or a source of income","All household-dwelling units",401232183,3526
"2013","Espoo","Study loans","All household-dwelling units",101528833,892
"2013","Helsinki","Debts total","All household-dwelling units",16220404152,51470
"2013","Helsinki","Housing loans","All household-dwelling units",12303421141,39041
"2013","Helsinki","Other debts","All household-dwelling units",2482875083,7879
"2013","Helsinki","Loans charged on business activities or a source of income","All household-dwelling units",995086700,3158
"2013","Helsinki","Study loans","All household-dwelling units",439021822,1393
"2013","Hyvinkää","Debts total","All household-dwelling units",1203924787,54799
"2013","Hyvinkää","Housing loans","All household-dwelling units",983396109,44761
"2013","Hyvinkää","Other debts","All household-dwelling units",174051287,7922
"2013","Hyvinkää","Loans charged on business activities or a source of income","All household-dwelling units",34388447,1565
"2013","Hyvinkää","Study loans","All household-dwelling units",12088978,550
"2013","Järvenpää","Debts total","All household-dwelling units",1227412658,66261
"2013","Järvenpää","Housing loans","All household-dwelling units",1019894732,55058
"2013","Järvenpää","Other debts","All household-dwelling units",166505543,8989
"2013","Järvenpää","Loans charged on business activities or a source of income","All household-dwelling units",30120501,1626
"2013","Järvenpää","Study loans","All household-dwelling units",10891890,588
"2013","Karkkila","Debts total","All household-dwelling units",231212411,53984
"2013","Karkkila","Housing loans","All household-dwelling units",176850219,41291
"2013","Karkkila","Other debts","All household-dwelling units",45613289,10650
"2013","Karkkila","Loans charged on business activities or a source of income","All household-dwelling units",7588984,1772
"2013","Karkkila","Study loans","All household-dwelling units",1159897,271
"2013","Kauniainen","Debts total","All household-dwelling units",462792169,126136
"2013","Kauniainen","Housing loans","All household-dwelling units",326702582,89044
"2013","Kauniainen","Other debts","All household-dwelling units",99803937,27202
"2013","Kauniainen","Loans charged on business activities or a source of income","All household-dwelling units",33943159,9251
"2013","Kauniainen","Study loans","All household-dwelling units",2342538,638
"2013","Kerava","Debts total","All household-dwelling units",887465612,53468
"2013","Kerava","Housing loans","All household-dwelling units",716815493,43187
"2013","Kerava","Other debts","All household-dwelling units",134083324,8078
"2013","Kerava","Loans charged on business activities or a source of income","All household-dwelling units",25732325,1550
"2013","Kerava","Study loans","All household-dwelling units",10834591,653
"2013","Kirkkonummi","Debts total","All household-dwelling units",1396259123,91414
"2013","Kirkkonummi","Housing loans","All household-dwelling units",1143935351,74894
"2013","Kirkkonummi","Other debts","All household-dwelling units",202139826,13234
"2013","Kirkkonummi","Loans charged on business activities or a source of income","All household-dwelling units",42257330,2767
"2013","Kirkkonummi","Study loans","All household-dwelling units",7926687,519
"2013","Lohja","Debts total","All household-dwelling units",1370942291,63282
"2013","Lohja","Housing loans","All household-dwelling units",1068277025,49311
"2013","Lohja","Other debts","All household-dwelling units",230171050,10625
"2013","Lohja","Loans charged on business activities or a source of income","All household-dwelling units",64204514,2964
"2013","Lohja","Study loans","All household-dwelling units",8289696,383
"2013","Mäntsälä","Debts total","All household-dwelling units",690979576,82211
"2013","Mäntsälä","Housing loans","All household-dwelling units",546076784,64970
"2013","Mäntsälä","Other debts","All household-dwelling units",109971682,13084
"2013","Mäntsälä","Loans charged on business activities or a source of income","All household-dwelling units",31826060,3787
"2013","Mäntsälä","Study loans","All household-dwelling units",3105044,369
"2013","Nurmijärvi","Debts total","All household-dwelling units",1451855891,89180
"2013","Nurmijärvi","Housing loans","All household-dwelling units",1209873256,74317
"2013","Nurmijärvi","Other debts","All household-dwelling units",192438389,11821
"2013","Nurmijärvi","Loans charged on business activities or a source of income","All household-dwelling units",43272897,2658
"2013","Nurmijärvi","Study loans","All household-dwelling units",6271439,385
"2013","Pornainen","Debts total","All household-dwelling units",191407560,101921
"2013","Pornainen","Housing loans","All household-dwelling units",154791621,82424
"2013","Pornainen","Other debts","All household-dwelling units",30382649,16178
"2013","Pornainen","Loans charged on business activities or a source of income","All household-dwelling units",5482872,2920
"2013","Pornainen","Study loans","All household-dwelling units",750457,400
"2013","Sipoo","Debts total","All household-dwelling units",742832949,98939
"2013","Sipoo","Housing loans","All household-dwelling units",592884034,78967
"2013","Sipoo","Other debts","All household-dwelling units",117532233,15654
"2013","Sipoo","Loans charged on business activities or a source of income","All household-dwelling units",29374240,3912
"2013","Sipoo","Study loans","All household-dwelling units",3042480,405
"2013","Siuntio","Debts total","All household-dwelling units",250653024,100907
"2013","Siuntio","Housing loans","All household-dwelling units",202236779,81416
"2013","Siuntio","Other debts","All household-dwelling units",34386709,13843
"2013","Siuntio","Loans charged on business activities or a source of income","All household-dwelling units",13165662,5300
"2013","Siuntio","Study loans","All household-dwelling units",863855,348
"2013","Tuusula","Debts total","All household-dwelling units",1318464849,84463
"2013","Tuusula","Housing loans","All household-dwelling units",1082717901,69361
"2013","Tuusula","Other debts","All household-dwelling units",191455468,12265
"2013","Tuusula","Loans charged on business activities or a source of income","All household-dwelling units",37795133,2421
"2013","Tuusula","Study loans","All household-dwelling units",6496349,416
"2013","Vantaa","Debts total","All household-dwelling units",5564209817,58326
"2013","Vantaa","Housing loans","All household-dwelling units",4601002478,48229
"2013","Vantaa","Other debts","All household-dwelling units",758870489,7955
"2013","Vantaa","Loans charged on business activities or a source of income","All household-dwelling units",140785037,1476
"2013","Vantaa","Study loans","All household-dwelling units",63552054,666
"2013","Vihti","Debts total","All household-dwelling units",1049371726,86120
"2013","Vihti","Housing loans","All household-dwelling units",857640204,70385
"2013","Vihti","Other debts","All household-dwelling units",154187356,12654
"2013","Vihti","Loans charged on business activities or a source of income","All household-dwelling units",31725590,2604
"2013","Vihti","Study loans","All household-dwelling units",5818677,478
"2013","Lapinjärvi","Debts total","All household-dwelling units",76688060,58141
"2013","Lapinjärvi","Housing loans","All household-dwelling units",41916083,31779
"2013","Lapinjärvi","Other debts","All household-dwelling units",26442241,20047
"2013","Lapinjärvi","Loans charged on business activities or a source of income","All household-dwelling units",7940693,6020
"2013","Lapinjärvi","Study loans","All household-dwelling units",389052,295
"2013","Loviisa","Debts total","All household-dwelling units",389697241,51479
"2013","Loviisa","Housing loans","All household-dwelling units",287500242,37979
"2013","Loviisa","Other debts","All household-dwelling units",79423949,10492
"2013","Loviisa","Loans charged on business activities or a source of income","All household-dwelling units",20291417,2681
"2013","Loviisa","Study loans","All household-dwelling units",2481658,328
"2013","Askola","Debts total","All household-dwelling units",185542617,90597
"2013","Askola","Housing loans","All household-dwelling units",132242839,64572
"2013","Askola","Other debts","All household-dwelling units",42202831,20607
"2013","Askola","Loans charged on business activities or a source of income","All household-dwelling units",10304426,5031
"2013","Askola","Study loans","All household-dwelling units",792523,387
"2013","Myrskylä","Debts total","All household-dwelling units",52605504,59374
"2013","Myrskylä","Housing loans","All household-dwelling units",30407022,34319
"2013","Myrskylä","Other debts","All household-dwelling units",15591941,17598
"2013","Myrskylä","Loans charged on business activities or a source of income","All household-dwelling units",6350808,7168
"2013","Myrskylä","Study loans","All household-dwelling units",255721,289
"2013","Porvoo","Debts total","All household-dwelling units",1562350729,69876
"2013","Porvoo","Housing loans","All household-dwelling units",1238892992,55409
"2013","Porvoo","Other debts","All household-dwelling units",251188124,11234
"2013","Porvoo","Loans charged on business activities or a source of income","All household-dwelling units",60563883,2709
"2013","Porvoo","Study loans","All household-dwelling units",11705777,524
"2013","Pukkila","Debts total","All household-dwelling units",62177150,70336
"2013","Pukkila","Housing loans","All household-dwelling units",37535010,42460
"2013","Pukkila","Other debts","All household-dwelling units",16669809,18857
"2013","Pukkila","Loans charged on business activities or a source of income","All household-dwelling units",7717791,8731
"2013","Pukkila","Study loans","All household-dwelling units",254552,288
