Municipality,Year,Admissions to involuntary care / 1 000 residents,Alcohol mortality per 100 000 inhabitants,Compulsory treatment in psychiatric inpatient care per population,"Entitled to special refunds on medicines for psychosis, as % of total population","Hospital care for mental disorders, recipients aged 0-24, combined",Mental health visits in primary health care per 1000 inhabitants,Outpatient visits in specialities of psychiatry per 1000 inhabitants,"Psychiatric inpatient care, patients per 1000 inhabitants","Psychiatric rehabilitation homes, clients on 31 Dec per population","Recipients of a disability pension due to mental and behavioural disorders aged 16-64, combined","Rehabilitative psychotherapy, recipients aged 16-64, combined","Reimbursements for depression medicines, recipients all ages, combined","Sickness allowance for mental health reasons, recipients aged 18-64, combined",Suicides per 100 000 inhabitants
Säkylä,2015,-0.009694343155250917,-0.026339289291998556,-0.36062365007002173,-0.5148559384899779,0.9937406604236364,-0.25204328086162003,0.7757629687041836,-0.595016122527189,-0.34512817295429926,-0.49882989019428275,-0.47079936626173896,-0.016583772769613533,-0.6365305553796633,-0.3542974120652027
Säkylä,2016,0.2932266491453456,1.189434341791388,-0.5631494031186309,-0.3665940616840312,-0.6437245811838233,-0.0893474989829075,1.0220076645679694,-0.595016122527189,-0.127782331293682,-0.26432246332659654,-0.28184944362681796,-0.21302177080786486,-0.958955653330601,-0.1863092268140938
Säkylä,2017,0.4446871452956436,0.308716435809722,-0.1477197875055694,-0.3665940616840312,-0.47971053092259214,0.04414647589193351,0.46975551519255715,-0.3003658009085238,-0.01048938157307246,-0.4135005682581214,-0.37632440494427855,-0.2794172630647997,-0.6094972934813491,-0.08551631566342877
Säkylä,2018,0.14176615299504713,-0.370968035110911,-0.4012508033579775,-0.5148559384899779,-0.46330912589646905,-0.005913764686131869,0.422166652621129,-0.4476909617178564,-0.10335675084146545,-0.4030567157012372,-0.35742941268078643,0.08628798689961721,-0.4284415397292488,-0.5222855973163121
Säkylä,2019,0.14176615299504713,0.31828945652691415,0.4944847924349082,-0.5148559384899779,-0.25009086055686874,-0.289588461295169,0.4332338299633217,-0.4967993486543007,-0.0904435728539217,-0.2863958360944227,-0.3385344204172945,0.49588002565466605,-0.3536295750267004,-0.11911395271365044
Säkylä,2020,-2.281601785409725,0.6916372644974027,-1.2862537122468707,-0.6631178152959247,-0.25009086055686874,-0.13940773956097288,1.1398731032623213,-0.6441245094636333,-0.07941542869789285,-0.4036495495282658,0.03936542485254742,0.4818716263810829,-0.006687799697399893,-1.345427705046746
Säkylä,2021,-2.281601785409725,0.08853695931430593,-1.2842530613608045,-0.5148559384899779,-0.5453161510270846,-0.289588461295169,0.5771071354118259,-0.6932328964000777,0.04005955038040832,-0.46749833252362955,0.7195851463382628,0.6683659385621543,1.2419940249304362,-1.0934454271700826
Säkylä,2022,-2.281601785409725,0.33743549796129846,-1.2675003423401194,-0.5148559384899779,-0.2008866454784993,-0.0017420779712930875,0.49853017628225793,-0.6441245094636333,0.5239877305272511,-0.5632715070166752,1.0785899993446126,1.0016466412948417,1.6388362786181558,-0.05191867861320707
Säkylä,2023,-2.1301412892594267,0.33743549796129846,-1.2659724564547965,-0.5148559384899779,-0.1844852404523762,-0.01008545140097065,0.49853017628225793,-0.4967993486543007,0.5344707508402747,-0.5098665765781958,0.984115038027152,1.1464062439461356,1.5048543960238845,-0.05191867861320707
Taipalsaari,1997,0.7476081375962405,0.48103080871917875,-0.08403556214556247,-0.8113796921018712,1.2691463683575723,-0.8611095412280821,0.18643577523242574,0.23982645539236314,0.00014002272062369316,-0.6056397510712414,-0.6030643121061835,-1.9457962940480835,-0.7526783905537329,1.930341907349879
Taipalsaari,1998,0.7476081375962405,0.7012102852145949,-0.20295237155968218,-0.8113796921018712,1.1871393432269568,-0.865281227942921,-0.5550651066944806,0.09250129458303007,0.017377626785785086,-0.6056397510712414,-0.6030643121061835,-2.086404871629953,-0.7526783905537329,1.594365536847661
Taipalsaari,1999,1.0505291298968367,0.29914341509252984,-0.3017455900129367,-0.9596415689078179,0.9314781645930192,-0.865281227942921,-0.3569626322692325,-0.6441245094636333,0.018300298396147205,-0.5417909680758777,-0.6030643121061835,-2.1290162610643257,-0.7526783905537329,0.5024423327154527
Taipalsaari,2000,0.8990686337465388,0.9501088238615875,-0.384766705952573,-0.9596415689078179,0.9314781645930192,-0.8527661677984045,-0.8118236210333498,-0.10393225316274664,0.016456521680703565,-0.7658545423866796,-0.6030643121061835,-1.5774455814801287,-0.7526783905537329,0.6368328809163399
Taipalsaari,2001,0.5961476414459421,0.25127831150656976,-0.14871299277183392,-1.1079034457137642,0.9478795696191422,-0.8485944810835658,-0.7675549116645793,-0.4476909617178564,0.018993332528499718,-0.7658545423866796,-0.47079936626173896,-1.8316516206019855,-0.7526783905537329,1.8799454517745462
Taipalsaari,2002,0.7476081375962405,0.8160865338208995,-0.187916339308293,-1.1079034457137642,0.9478795696191422,-0.8152209873648555,-0.5821796911828526,0.1907180684559186,0.013931527440710011,-0.9260693337021177,-0.6030643121061835,-1.5231003780157983,-0.7526783905537329,0.9056139773181144
