kunta_nimi,vuosi,Elatustuki,Eläke-etuudet (pl. takuueläke),Eläketuki,Eläkkeensaajan asumistuki,Erityishoitoraha,Koulumatkatuki,Kuntoutus,Kuntoutusraha,Lapsilisä,Lastenhoidon tuet,Maahanmuuttajan erityistuki,Opintolainahyvitys,Opintolainan korkoavustus,Opintolainavähennys,"Opintotuki (opintoraha, asumislisä, lainatakaus)",Perhevapaakorvaus,Perustoimeentulotuki,Sairaanhoitokorvaukset,Sairauspäivärahat,Sotilasavustus,Takuueläke,Työttömyysturva,Vammaisetuudet,Vanhempainpäiväraha,Vuosilomakustannuskorvaus,Väliaikainen sähkötuki,Yleinen asumistuki,Äitiysavustus
Alajärvi,2018,106.38461538461539,1934.4615384615386,0.0,361.53846153846155,14.0,101.25,84.6923076923077,22.615384615384617,889.6923076923077,147.0,0.0,5.0,7.666666666666667,5.0,170.53846153846155,10.0,90.53846153846153,3524.5384615384614,135.07692307692307,7.230769230769231,260.61538461538464,242.07692307692307,668.2307692307693,97.0,10.0,9.0,194.15384615384616,13.538461538461538
Alajärvi,2019,105.61538461538461,1868.7692307692307,0.0,358.6923076923077,9.0,93.25,89.46153846153847,32.0,864.7692307692307,135.69230769230768,0.0,6.0,7.666666666666667,5.0,171.15384615384616,16.5,90.38461538461539,3465.6923076923076,140.30769230769232,6.0,260.38461538461536,233.6153846153846,642.0769230769231,91.76923076923077,15.666666666666666,9.0,180.69230769230768,13.363636363636363
Alajärvi,2020,114.3076923076923,1973.3846153846155,0.0,351.0,8.0,72.9090909090909,88.92307692307692,31.23076923076923,834.0769230769231,124.0,0.0,6.0,7.666666666666667,5.0,164.07692307692307,11.0,118.84615384615384,3333.5384615384614,145.23076923076923,4.0,306.0769230769231,313.3076923076923,686.1538461538462,84.46153846153847,11.166666666666666,9.0,199.46153846153845,12.923076923076923
Alajärvi,2021,107.0,1942.076923076923,0.0,341.0769230769231,4.0,68.83333333333333,108.0,44.38461538461539,816.2307692307693,107.3076923076923,0.0,12.0,7.666666666666667,5.0,150.15384615384616,11.5,117.0,3274.846153846154,165.84615384615384,4.0,317.15384615384613,289.2307692307692,667.8461538461538,77.61538461538461,16.0,9.0,207.53846153846155,13.428571428571429
Alajärvi,2022,102.76923076923077,1894.3076923076924,0.0,336.38461538461536,10.0,65.07692307692308,115.15384615384616,45.84615384615385,801.3076923076923,101.3076923076923,0.0,12.0,7.666666666666667,5.0,137.6153846153846,13.333333333333334,115.53846153846153,3354.6153846153848,305.9230769230769,6.0,316.7692307692308,198.92307692307693,647.3846153846154,68.46153846153847,11.666666666666666,9.0,182.30769230769232,12.6
Alajärvi,2023,103.84615384615384,1853.0,0.0,314.3076923076923,10.0,95.15384615384616,120.53846153846153,57.15384615384615,795.9230769230769,98.61538461538461,0.0,7.666666666666667,4.5,5.0,127.6923076923077,14.333333333333334,103.76923076923077,3367.0,174.15384615384616,4.0,308.53846153846155,180.23076923076923,627.3076923076923,76.61538461538461,12.75,4.0,192.84615384615384,11.9
Alajärvi,2024,97.25,1841.25,0.0,332.25,10.0,90.14285714285714,103.75,43.0,787.625,78.375,0.0,6.0,4.0,5.0,103.875,4.0,104.875,2989.875,100.875,5.4,299.25,167.5,625.875,77.5,4.0,4.0,230.0,7.2
Alavieska,2008,97.25,0.0,0.0,0.0,10.0,130.0,54.0,37.0,317.0,79.0,0.0,6.0,4.0,5.0,146.0,4.0,104.875,1882.0,173.0,4.0,299.25,84.0,0.0,104.0,14.0,4.0,0.0,40.0
Alavieska,2009,0.0,0.0,0.0,0.0,6.0,130.0,49.0,34.0,309.0,82.0,0.0,6.0,4.0,5.0,144.0,4.0,104.875,1890.0,162.0,7.0,299.25,111.0,0.0,91.0,14.0,4.0,0.0,38.0
Alavieska,2010,0.0,0.0,0.0,0.0,6.0,140.0,35.0,21.0,311.0,92.0,0.0,6.0,4.0,5.0,150.0,4.0,104.875,1921.0,149.0,7.0,299.25,122.0,0.0,106.0,14.0,4.0,0.0,34.0
