Municipality,Year,"Entitled to special refunds on medicines for psychosis, as % of total population","Hospital care for mental disorders, recipients aged 0-17 per 1000 persons of the same age","Hospital care for mental disorders, recipients aged 18-24 per 1000 persons of the same age",Mental health outpatient visits of adults per 1000 persons aged 18 and over,Mental health visits in primary health care per 1000 inhabitants,Outpatient visits in specialities of psychiatry per 1000 inhabitants,"Psychiatric inpatient care, care days per 1000 inhabitants","Psychiatric inpatient care, patients per 1000 inhabitants","Psychiatric inpatient care, periods of care per 1000 inhabitants","Psychiatric rehabilitation homes, clients on 31 Dec (24-hour assistance) per 10000 inhabitants","Psychiatric rehabilitation homes, clients on 31 Dec (part-time assistance) per 10000 inhabitants","Rahabilitative psychotherapy, recipients aged 16-24 per 1000 persons of same age","Recipients of a disability pension due to mental and behavioural disorders aged 16-24, % of total population of the same age ","Recipients of a disability pension due to mental and behavioural disorders aged 25-64, as % of total population of the same age ","Rehabilitative psychotherapy, recipients aged 25-64 per 1000 persons of same age","Reimbursement for depression medicines in those aged 65 and over, as % of total population of same age","Reimbursements for depression medicines, recipients aged 0-17, as % of total population of the same age","Reimbursements for depression medicines, recipients aged 18-64 per 1000 persons of same age","Sickness allowance for mental health reasons, recipients aged 25-64 per 1000 persons of same age"
Mikkeli,2012,2.3,3.9,7.8,657.0,284.0,341.6,320.7,6.1,7.2,15.0,7.0,3.2,1.0,4.6,3.5,13.2,0.8,96.0,15.4
Mikkeli,2013,2.3,5.8,6.1,672.8,291.0,360.6,314.2,5.8,6.6,15.0,6.0,4.1,1.0,4.5,3.9,12.2,0.8,92.7,16.4
Mikkeli,2014,2.3,5.0,7.5,729.1,318.0,397.7,300.6,6.0,7.6,13.0,6.0,5.6,1.1,4.3,4.8,12.5,1.0,92.5,16.5
Mikkeli,2015,2.3,4.7,9.6,841.0,369.0,451.0,320.8,6.2,7.7,10.0,8.0,5.2,1.1,4.3,5.7,12.4,1.0,93.7,18.7
Mikkeli,2016,2.3,7.0,8.8,849.0,360.0,491.7,340.1,6.6,8.3,9.0,8.0,5.1,1.1,4.2,6.7,12.0,1.2,79.8,19.3
Mikkeli,2017,2.3,7.3,11.8,936.2,443.0,562.2,310.3,6.7,9.0,8.0,8.0,7.5,1.0,4.2,8.4,12.0,1.5,83.1,21.5
Mikkeli,2018,2.2,5.8,10.4,1010.7,659.0,388.3,274.2,6.8,8.8,7.0,9.0,7.7,1.0,4.2,10.0,11.7,1.5,88.6,22.7
Mikkeli,2019,2.3,6.6,11.3,1114.5,750.0,388.4,252.1,6.1,7.9,7.0,8.0,8.3,1.2,4.2,12.5,11.7,1.7,94.6,26.7
Mikkeli,2020,2.2,5.2,14.1,1053.1,701.0,501.9,173.2,5.0,7.1,8.0,10.0,9.0,1.3,4.2,14.1,11.8,1.8,101.4,29.4
Mikkeli,2021,2.2,4.7,13.3,768.2,439.0,525.2,214.9,6.6,9.2,7.0,12.0,9.9,1.4,4.2,16.1,12.4,2.0,105.6,31.7
Mikkeli,2022,2.2,3.9,12.9,710.7,413.0,490.2,261.3,6.6,9.2,7.0,13.0,11.1,1.4,4.2,16.0,12.4,2.2,107.7,32.4
Mikkeli,2023,2.2,4.5,15.4,696.2,512.0,490.2,261.3,6.1,9.2,5.0,10.0,12.0,1.4,4.3,15.4,12.9,2.1,111.8,33.1
Muhos,2000,2.0,5.0,9.8,472.8,212.0,143.0,417.5,5.0,4.2,7.0,15.0,0.0,0.8,5.2,1.7,9.2,0.2,56.2,19.1
Muhos,2001,2.0,8.2,9.8,592.0,279.0,164.1,534.2,6.5,9.2,7.0,15.0,0.0,1.2,4.8,1.7,9.2,0.2,54.7,19.1
Muhos,2002,2.0,8.1,10.8,640.3,294.0,179.1,314.2,4.5,7.7,7.0,15.0,0.0,1.0,4.9,1.7,10.9,0.2,64.3,19.1
Muhos,2003,1.9,5.8,10.8,698.7,357.0,156.0,347.3,4.5,5.9,7.0,15.0,0.0,1.1,4.7,1.7,10.6,0.2,67.8,19.1
Muhos,2004,2.0,6.1,9.1,588.8,296.0,148.0,315.2,5.1,5.9,7.0,15.0,0.0,1.1,4.6,1.7,10.7,0.2,71.8,19.1
Muhos,2005,1.9,2.6,12.7,632.8,317.0,162.5,379.6,5.7,9.0,7.0,15.0,0.0,1.3,4.8,2.0,11.0,0.3,74.9,23.4
Muhos,2006,1.9,4.5,8.0,519.3,227.0,187.2,337.5,5.3,6.7,7.0,15.0,5.8,1.0,4.8,2.9,13.2,0.4,82.0,25.1
Muhos,2007,2.0,4.3,13.0,584.3,278.0,161.2,366.2,6.4,11.2,6.0,14.0,5.8,1.4,4.7,3.7,15.3,0.4,88.2,24.6
Muhos,2008,2.1,5.0,12.4,705.1,296.0,236.9,402.1,7.2,9.3,7.0,13.0,5.8,1.8,4.8,4.1,16.1,0.2,94.3,26.3
Muhos,2009,2.2,4.2,10.6,731.2,274.0,281.6,487.4,7.7,9.5,7.0,15.0,5.8,1.7,4.9,4.8,16.7,0.3,91.3,22.0
Muhos,2010,2.0,4.5,8.5,659.0,237.0,258.3,456.5,4.9,6.4,8.0,14.0,5.8,2.1,4.9,3.2,16.5,0.3,91.6,25.1
Muhos,2011,2.1,3.0,11.3,787.3,339.0,258.2,354.1,5.4,6.3,8.0,16.0,5.8,2.1,4.8,5.0,16.5,0.3,92.7,22.9
Muhos,2012,2.0,3.0,14.7,796.2,345.0,259.8,356.2,4.9,5.6,10.0,16.0,5.8,2.1,4.7,4.4,15.8,0.2,90.7,20.3
Muhos,2013,2.0,1.9,16.2,677.6,339.0,169.9,301.0,5.3,6.3,12.0,16.0,8.4,2.2,4.5,5.5,15.5,0.4,86.9,21.2
Muhos,2014,2.0,3.4,8.8,571.0,306.0,162.5,245.0,4.7,5.6,10.0,16.0,8.4,2.1,4.5,7.3,17.3,0.4,87.8,23.6
Muhos,2015,1.9,2.2,17.2,613.5,314.0,193.8,233.9,5.3,6.6,9.0,14.0,8.4,1.9,4.5,11.0,16.2,0.1,90.9,19.3
Muhos,2016,2.0,1.9,12.7,706.0,470.0,154.9,244.4,3.4,4.8,9.0,14.0,11.3,1.9,4.5,14.1,18.0,0.2,77.4,25.0
Muhos,2017,2.0,1.9,15.5,768.0,544.0,145.7,173.1,3.9,4.8,11.0,18.0,9.9,1.4,4.7,18.1,18.4,0.4,77.0,29.0
Muhos,2018,2.0,5.7,15.4,772.4,594.0,157.3,259.6,6.0,7.3,10.0,16.0,11.0,1.8,5.1,18.9,17.6,0.4,86.6,38.5
Muhos,2019,2.0,2.7,17.4,813.1,606.0,141.9,190.2,4.2,6.6,15.0,19.0,12.1,1.9,5.2,20.5,17.3,0.4,91.1,41.5
Muhos,2020,1.8,2.0,13.5,754.7,593.0,167.7,183.8,3.8,5.7,13.0,18.0,12.1,1.9,5.1,23.5,17.5,0.6,89.5,38.3
Muhos,2021,1.8,6.0,12.7,782.9,604.0,209.1,207.5,5.7,8.9,15.0,17.0,16.6,2.1,5.0,24.7,16.1,0.9,92.3,39.3
Muhos,2022,1.7,2.1,9.3,649.7,522.0,146.3,115.7,2.7,8.9,15.0,16.0,14.4,2.6,5.1,21.4,17.1,1.1,101.9,44.6
Muhos,2023,1.8,6.7,9.3,610.1,491.0,146.3,115.7,4.3,8.9,16.0,15.0,9.5,2.5,5.0,20.8,16.2,1.3,104.5,43.0
Multia,2000,1.5,0.0,0.0,244.3,183.0,26.5,455.6,6.5,9.8,0.0,27.0,0.0,0.0,4.2,11.3,5.6,1.1,39.1,21.2
Multia,2001,1.5,0.0,0.0,248.1,194.0,16.1,427.2,5.2,5.2,0.0,27.0,0.0,0.0,4.3,11.3,6.6,1.1,42.3,21.2
Multia,2002,1.5,0.0,0.0,212.8,155.0,19.7,516.6,7.7,8.7,0.0,27.0,0.0,0.0,3.9,11.3,4.9,1.1,48.1,21.2
Multia,2003,1.8,0.0,0.0,207.2,163.0,7.7,693.0,7.3,9.2,0.0,27.0,0.0,0.0,4.5,11.3,4.4,1.1,45.0,21.2
Multia,2004,2.1,0.0,0.0,288.1,204.0,42.7,509.3,5.4,8.8,0.0,27.0,0.0,0.0,4.7,11.3,4.6,1.1,48.6,21.2
Multia,2005,1.9,0.0,0.0,255.7,164.0,45.5,106.4,5.0,8.4,0.0,27.0,0.0,0.0,4.9,11.3,4.3,1.1,47.7,22.3
Multia,2006,1.9,0.0,0.0,207.3,139.0,28.1,28.6,2.6,3.5,0.0,27.0,0.0,0.0,5.1,11.3,6.7,1.1,46.7,19.6
Multia,2007,1.9,0.0,0.0,238.2,130.0,64.7,10.2,2.6,1.5,0.0,27.0,0.0,0.0,5.1,11.3,6.2,1.1,47.2,20.5
Multia,2008,1.7,0.0,0.0,311.4,158.0,99.3,99.8,2.6,2.0,0.0,27.0,0.0,0.0,4.8,11.3,6.7,1.1,45.8,11.0
Multia,2009,1.7,0.0,0.0,251.1,151.0,62.0,332.5,4.7,7.8,0.0,27.0,0.0,0.0,4.4,11.3,7.8,1.1,53.6,15.7
Multia,2010,1.8,0.0,0.0,274.3,146.0,85.2,240.7,4.2,6.3,0.0,27.0,0.0,0.0,4.8,11.3,8.5,1.1,69.8,20.6
Multia,2011,1.9,0.0,0.0,369.0,256.0,95.3,122.4,4.3,6.0,0.0,27.0,0.0,0.0,5.4,11.3,8.5,1.1,71.7,18.7
Multia,2012,1.9,0.0,0.0,362.7,244.0,86.5,104.6,4.5,4.4,0.0,33.0,0.0,0.0,4.8,11.3,8.5,1.1,87.2,19.1
Multia,2013,1.7,0.0,0.0,437.4,256.0,140.7,55.1,4.5,1.1,0.0,33.0,0.0,0.0,5.2,11.3,8.2,1.1,67.3,18.1
Multia,2014,1.8,0.0,0.0,571.0,274.0,270.0,223.5,4.5,6.2,0.0,33.0,0.0,0.0,5.5,11.3,7.7,1.1,60.5,13.5
Multia,2015,1.9,0.0,0.0,389.6,251.0,139.8,133.3,3.6,2.9,0.0,33.0,0.0,0.0,5.1,11.3,8.5,1.1,57.8,10.4
Multia,2016,1.7,0.0,0.0,460.5,335.0,131.1,91.4,3.6,3.6,0.0,33.0,0.0,0.0,4.8,11.3,8.0,1.1,56.6,12.0
Multia,2017,1.8,0.0,0.0,319.9,210.0,75.2,96.0,0.0,2.4,0.0,33.0,0.0,0.0,4.5,11.3,8.6,1.1,65.4,24.4
Multia,2018,1.9,0.0,0.0,406.7,259.0,102.9,24.6,0.0,1.9,0.0,33.0,0.0,0.0,4.7,11.3,9.1,1.1,65.0,21.3
Multia,2019,1.7,0.0,0.0,420.9,376.0,40.2,51.7,0.0,2.6,0.0,33.0,0.0,0.0,4.2,15.9,9.0,1.1,74.0,21.6
Multia,2020,1.6,0.0,0.0,353.2,352.0,77.0,81.3,0.0,2.7,0.0,33.0,0.0,0.0,3.7,16.1,9.6,1.1,74.5,26.4
Multia,2021,1.9,0.0,0.0,427.5,374.0,78.0,81.3,0.0,2.7,0.0,33.0,0.0,0.0,3.7,20.1,10.3,1.1,77.3,34.1
Multia,2022,1.8,0.0,0.0,487.5,431.0,58.9,12.9,0.0,2.7,0.0,33.0,0.0,0.0,3.5,14.4,9.0,1.1,73.0,27.2
Multia,2023,1.8,0.0,0.0,446.2,470.0,58.9,12.9,0.0,2.7,0.0,33.0,0.0,0.0,3.4,10.1,9.3,1.1,79.2,33.6
Muonio,2000,1.7,0.0,0.0,234.5,0.0,178.7,383.4,2.0,2.0,0.0,0.0,0.0,2.1,2.9,4.4,8.0,1.2,42.6,8.3
Muonio,2001,1.7,0.0,0.0,501.3,0.0,390.5,434.1,2.4,4.0,0.0,0.0,0.0,2.1,3.0,4.4,7.4,1.2,48.4,8.3
Muonio,2002,1.7,0.0,0.0,263.3,0.0,208.5,598.4,4.9,4.9,0.0,0.0,0.0,2.1,2.7,4.4,7.4,1.2,38.6,8.3
Muonio,2003,1.7,0.0,0.0,264.1,0.0,218.3,417.8,3.2,2.8,0.0,0.0,0.0,2.1,2.5,4.4,5.5,1.2,33.2,8.3
Muonio,2004,1.6,0.0,0.0,244.3,0.0,208.8,451.7,4.1,3.7,0.0,0.0,0.0,2.1,2.6,4.4,6.1,1.2,37.9,8.3
Muonio,2005,1.7,0.0,0.0,282.8,0.0,233.3,451.6,2.9,4.5,0.0,0.0,0.0,2.1,2.9,4.4,6.0,1.2,39.7,12.1
Muonio,2006,1.8,0.0,0.0,319.5,0.0,264.7,816.1,7.1,8.3,0.0,0.0,0.0,2.1,2.7,4.4,8.0,1.2,44.7,21.0
Muonio,2007,1.8,0.0,0.0,336.7,0.0,281.4,600.5,6.3,6.3,0.0,0.0,0.0,2.1,2.7,4.4,9.6,1.2,53.6,25.0
Muonio,2008,1.7,0.0,0.0,287.1,0.0,231.4,440.3,4.2,7.6,0.0,0.0,0.0,2.1,2.7,4.4,8.7,1.2,54.9,22.9
Muonio,2009,1.8,0.0,0.0,271.4,0.0,236.0,366.8,3.4,8.4,0.0,0.0,0.0,2.1,2.7,4.4,9.7,1.2,61.8,24.4
Muonio,2010,1.9,0.0,0.0,325.4,0.0,301.1,435.7,5.4,8.3,0.0,0.0,0.0,2.1,2.8,4.4,10.0,1.2,61.0,13.4
Muonio,2011,1.9,0.0,0.0,334.6,19.0,269.3,272.3,3.0,2.5,0.0,0.0,0.0,2.1,2.9,4.4,9.6,1.2,53.0,13.0
Muonio,2012,2.0,0.0,0.0,295.9,19.0,237.7,294.9,4.6,4.6,0.0,0.0,0.0,2.1,3.2,4.4,10.4,1.2,53.3,16.2
Muonio,2013,1.9,0.0,0.0,289.4,9.0,252.6,251.4,3.8,3.4,0.0,0.0,0.0,2.1,3.3,4.4,8.5,1.2,58.2,14.1
Muonio,2014,1.8,0.0,0.0,294.9,33.0,248.4,199.2,2.5,2.9,0.0,0.0,0.0,1.6,2.9,4.4,9.4,1.2,61.6,16.8
Muonio,2015,1.9,0.0,0.0,119.4,36.0,97.1,358.8,4.2,10.2,0.0,0.0,0.0,0.0,3.0,4.4,9.2,1.2,64.5,13.4
Muonio,2016,1.9,11.8,0.0,109.7,40.0,93.2,203.0,4.3,6.0,0.0,0.0,0.0,0.0,2.6,4.4,9.2,1.2,47.2,17.9
Muonio,2017,1.7,11.8,0.0,212.2,148.0,55.3,111.9,2.1,3.0,0.0,0.0,0.0,0.0,2.4,4.4,11.1,1.2,41.8,15.5
Muonio,2018,1.6,11.8,0.0,317.0,251.0,63.1,122.2,3.0,3.5,0.0,0.0,0.0,0.0,2.2,4.4,11.2,1.2,50.0,29.4
Muonio,2019,1.6,11.8,0.0,418.8,312.0,122.6,53.7,3.9,3.9,0.0,0.0,0.0,0.0,2.0,4.4,11.6,1.2,54.1,34.5
Muonio,2020,1.5,12.0,0.0,446.9,373.0,109.3,34.4,4.3,2.6,0.0,0.0,0.0,0.0,2.1,8.1,12.2,1.2,65.4,35.8
Muonio,2021,1.5,12.0,0.0,330.0,239.0,140.5,99.1,4.3,6.5,0.0,0.0,0.0,0.0,1.9,11.5,13.0,1.2,70.4,32.7
Muonio,2022,1.6,12.0,0.0,339.9,249.0,153.0,58.3,3.1,6.5,0.0,0.0,0.0,0.0,2.0,14.3,11.4,1.0,86.0,37.6
Muonio,2023,1.6,12.0,0.0,442.6,333.0,153.0,58.3,4.3,6.5,0.0,0.0,0.0,0.0,2.2,30.2,11.9,1.7,101.7,45.7
Muurame,2000,1.0,6.5,9.5,370.2,231.0,100.2,229.2,4.0,4.3,7.0,0.0,0.0,0.9,2.6,1.8,12.2,0.3,53.8,26.7
Muurame,2001,1.0,2.1,11.1,371.7,236.0,72.0,206.8,3.5,5.3,7.0,0.0,0.0,0.9,2.6,1.6,11.8,0.2,55.2,26.7
Muurame,2002,1.1,2.5,8.4,371.7,180.0,98.6,182.9,3.9,5.2,7.0,0.0,0.0,0.8,2.5,1.1,11.2,0.2,59.9,26.7
Muurame,2003,1.1,6.2,10.4,368.3,180.0,95.9,186.3,4.6,6.0,7.0,0.0,0.0,0.6,2.6,1.1,12.0,0.2,61.7,26.7
Muurame,2004,1.1,4.9,13.5,378.7,215.0,75.3,308.6,4.8,6.0,7.0,0.0,0.0,0.6,2.6,1.1,10.9,0.3,57.9,26.7
Muurame,2005,1.1,4.9,10.9,389.2,212.0,92.4,209.8,4.3,5.9,7.0,0.0,0.0,0.7,2.7,1.7,9.9,0.3,59.2,25.2
Muurame,2006,1.3,2.4,10.9,390.3,211.0,97.1,175.0,4.3,6.3,7.0,0.0,7.1,0.7,2.7,2.1,10.6,0.6,69.7,24.7
Muurame,2007,1.3,5.9,10.9,369.2,178.0,106.7,271.9,5.9,8.8,7.0,0.0,7.1,0.5,2.8,2.7,10.1,0.6,79.2,24.7
Muurame,2008,1.4,1.9,10.9,337.5,179.0,117.5,90.5,2.7,4.4,7.0,0.0,7.1,0.5,2.8,3.8,8.8,0.7,79.4,22.3
Muurame,2009,1.3,2.3,10.9,326.6,156.0,165.6,144.6,2.7,4.9,7.0,0.0,7.1,0.6,2.8,5.8,10.6,0.5,87.4,20.8
Muurame,2010,1.3,3.1,8.8,308.2,131.0,204.7,112.4,2.9,4.4,7.0,0.0,5.9,0.8,2.5,6.0,11.6,0.6,92.5,21.6
Muurame,2011,1.3,3.1,9.2,313.5,3.0,344.9,88.3,3.2,3.9,7.0,0.0,5.8,0.8,2.4,5.3,12.2,0.6,90.6,19.1
Muurame,2012,1.3,3.1,0.0,332.3,98.0,357.2,69.8,2.4,3.0,7.0,0.0,7.9,0.8,2.5,6.7,12.5,0.8,88.3,20.7
Muurame,2013,1.3,2.4,0.0,288.8,97.0,299.7,92.6,2.2,2.3,7.0,0.0,7.9,0.8,2.4,7.1,11.5,0.5,76.0,21.0
Muurame,2014,1.2,4.2,0.0,274.8,31.0,313.3,114.3,2.6,3.2,7.0,0.0,7.9,0.7,2.2,8.5,11.9,0.5,74.5,21.6
Muurame,2015,1.2,2.7,0.0,320.8,35.0,392.4,123.5,2.1,2.9,7.0,0.0,7.9,0.6,2.2,8.7,10.7,0.6,68.9,17.1
Muurame,2016,1.2,3.8,0.0,345.9,108.0,397.8,117.1,2.6,3.2,7.0,0.0,7.9,0.9,2.2,8.8,10.2,1.1,60.8,14.5
Muurame,2017,1.2,6.4,0.0,330.2,132.0,428.8,114.0,3.1,6.1,7.0,0.0,7.9,1.1,2.0,9.7,10.5,1.3,65.9,18.3
Muurame,2018,1.2,4.9,12.6,411.9,125.0,484.1,122.9,2.4,4.9,8.0,0.0,6.5,1.1,2.1,11.6,12.1,1.2,69.9,28.3
Muurame,2019,1.2,3.8,12.6,397.1,126.0,474.5,156.7,3.0,4.8,6.0,0.0,6.5,1.7,2.2,13.6,10.9,0.9,82.6,32.1
Muurame,2020,1.1,5.3,12.5,255.5,166.0,346.2,123.9,3.3,4.9,6.0,0.0,6.5,1.7,2.1,15.8,10.6,1.1,83.6,26.1
Muurame,2021,1.1,2.6,12.5,265.1,200.0,304.2,122.6,2.2,2.8,5.0,0.0,9.1,1.6,2.0,19.4,10.6,1.3,85.3,36.4
Muurame,2022,1.2,2.6,11.9,258.5,198.0,265.3,144.4,2.9,2.8,11.0,0.0,9.1,1.5,2.2,19.0,10.8,1.3,88.2,35.2
Muurame,2023,1.2,5.3,12.3,295.1,210.0,265.3,144.4,2.8,2.8,12.0,0.0,9.1,1.3,2.3,18.7,12.1,1.6,94.3,37.1
Mynämäki,2000,1.0,4.4,10.1,427.2,105.0,317.5,265.7,3.3,3.9,7.0,6.0,0.0,1.4,2.3,1.2,8.5,0.4,48.9,18.3
Mynämäki,2001,1.0,6.5,10.1,369.1,85.0,282.6,235.9,3.5,3.9,7.0,6.0,0.0,1.1,2.2,1.2,8.4,0.4,56.5,18.3
Mynämäki,2002,1.0,6.0,0.0,425.2,158.0,243.4,199.3,3.3,4.3,7.0,6.0,0.0,0.8,2.4,1.2,9.3,0.4,60.7,18.3
Mynämäki,2003,1.1,4.3,0.0,350.1,152.0,178.4,172.6,3.4,3.9,7.0,6.0,0.0,0.8,2.5,1.2,8.2,0.4,60.7,18.3
Mynämäki,2004,1.1,3.8,0.0,352.2,183.0,120.6,243.2,3.9,5.1,7.0,6.0,0.0,0.8,2.8,1.2,8.3,0.4,68.6,18.3
Mynämäki,2005,1.1,3.3,0.0,370.4,176.0,126.3,208.4,4.5,4.8,7.0,6.0,9.2,0.6,2.8,1.2,8.3,0.4,69.7,15.7
Mynämäki,2006,1.1,2.7,0.0,326.7,145.0,141.1,185.5,4.7,4.7,7.0,6.0,9.2,1.2,3.0,2.6,9.7,0.3,78.8,19.2
Mynämäki,2007,1.1,6.6,0.0,357.5,163.0,151.8,198.5,4.6,5.1,7.0,6.0,9.2,1.0,3.0,3.1,9.5,0.3,81.8,22.9
Mynämäki,2008,1.2,7.7,0.0,328.1,169.0,142.2,181.5,4.7,4.9,7.0,6.0,9.2,1.3,3.0,2.8,9.7,0.5,85.8,23.2
Mynämäki,2009,1.2,5.1,0.0,376.7,176.0,170.7,151.5,4.0,4.6,7.0,7.0,9.2,1.3,3.0,2.8,10.7,0.5,84.7,17.1
Mynämäki,2010,1.2,5.9,0.0,355.8,147.0,168.1,157.7,3.2,3.4,7.0,7.0,9.2,1.2,2.9,1.9,10.8,0.3,82.4,15.0
Mynämäki,2011,1.2,5.9,0.0,299.3,126.0,212.3,128.7,3.1,3.1,7.0,7.0,9.2,1.5,2.7,2.4,10.6,0.5,87.7,18.0
Mynämäki,2012,1.1,4.3,0.0,442.2,178.0,257.3,110.1,2.1,2.4,7.0,6.0,9.2,1.6,2.8,3.4,11.3,0.7,83.1,16.6
Mynämäki,2013,1.2,3.2,0.0,229.6,3.0,278.9,95.6,3.1,3.6,7.0,6.0,9.2,1.9,2.8,5.0,10.3,0.7,86.6,19.3
Mynämäki,2014,1.2,3.2,0.0,261.2,5.0,295.8,94.0,2.5,3.5,7.0,10.0,9.2,1.7,2.8,8.3,10.6,0.5,80.9,20.8
Mynämäki,2015,1.2,3.2,12.2,321.4,0.0,350.9,112.6,3.2,4.2,7.0,6.0,9.2,1.7,2.9,7.6,12.2,0.6,87.0,18.7
Mynämäki,2016,1.3,4.1,12.7,238.2,2.0,281.9,128.5,3.3,5.4,7.0,9.0,9.2,1.9,3.2,7.1,11.6,0.7,72.9,18.6
Mynämäki,2017,1.3,4.1,12.7,223.6,2.0,270.2,112.8,3.3,4.7,7.0,9.0,9.2,2.1,3.0,5.6,11.7,0.5,76.2,16.8
Mynämäki,2018,1.2,3.4,12.7,261.4,6.0,332.7,37.6,2.8,3.9,7.0,9.0,9.2,2.2,3.0,7.0,11.9,0.8,84.7,21.5
Mynämäki,2019,1.3,4.9,12.7,283.8,5.0,335.9,86.1,3.0,4.1,7.0,9.0,9.2,2.0,3.1,6.4,12.3,1.1,89.7,24.6
Mynämäki,2020,1.3,6.4,12.7,303.1,4.0,332.1,86.7,3.0,5.0,7.0,9.0,9.2,2.3,3.2,8.8,12.4,1.5,93.5,21.2
Mynämäki,2021,1.4,5.1,12.7,259.4,6.0,329.7,133.4,3.8,6.1,7.0,9.0,9.2,1.8,3.2,9.6,13.4,1.5,94.3,25.1
Mynämäki,2022,1.4,5.1,12.7,178.1,3.0,248.0,84.1,2.7,6.1,7.0,11.0,9.5,2.9,3.3,10.0,13.9,1.7,96.0,30.7
Mynämäki,2023,1.3,5.1,12.7,284.0,108.0,248.0,84.1,2.8,6.1,7.0,11.0,9.5,2.7,3.3,9.6,12.8,2.3,104.2,35.5
Myrskylä,2000,1.2,0.0,0.0,170.8,37.0,167.7,64.4,3.0,3.0,25.0,0.0,0.0,0.0,3.3,7.5,10.1,1.4,51.8,20.1
Myrskylä,2001,1.2,12.8,0.0,174.8,33.0,171.7,212.3,3.0,2.0,25.0,0.0,0.0,0.0,3.0,7.5,8.7,1.4,51.1,20.1
Myrskylä,2002,1.3,12.8,0.0,186.5,34.0,183.7,241.5,4.0,5.5,25.0,0.0,0.0,0.0,2.9,7.5,9.4,1.4,59.0,20.1
Myrskylä,2003,1.3,12.8,0.0,225.1,36.0,236.6,149.6,4.0,6.0,25.0,0.0,0.0,0.0,3.0,7.5,8.4,1.4,56.9,20.1
Myrskylä,2004,1.4,12.8,0.0,149.5,0.0,184.2,125.7,4.4,4.9,25.0,0.0,0.0,0.0,3.2,7.5,8.3,1.4,60.3,20.1
Myrskylä,2005,1.4,12.8,0.0,167.8,0.0,180.5,102.8,4.9,4.4,25.0,0.0,0.0,0.0,3.2,7.5,8.5,1.4,56.3,12.4
Myrskylä,2006,1.6,12.8,0.0,83.7,0.0,89.3,111.2,4.4,4.4,25.0,0.0,0.0,0.0,3.3,7.5,10.1,1.4,56.5,17.1
Myrskylä,2007,1.7,12.8,0.0,167.5,0.0,184.1,474.8,3.5,3.5,25.0,0.0,0.0,0.0,3.2,7.5,8.6,1.4,69.2,16.3
Myrskylä,2008,1.5,12.8,0.0,195.2,0.0,209.0,195.0,3.5,3.5,25.0,0.0,0.0,0.0,2.9,7.5,10.7,1.4,76.9,21.1
Myrskylä,2009,1.7,12.8,0.0,243.7,0.0,261.3,296.4,3.5,4.0,25.0,0.0,0.0,0.0,2.7,7.5,10.7,1.4,82.5,19.2
Myrskylä,2010,1.7,12.8,0.0,260.7,60.0,196.4,265.2,4.0,4.5,25.0,0.0,0.0,0.0,2.9,7.5,10.1,1.0,77.7,24.4
Myrskylä,2011,1.5,12.8,0.0,297.5,116.0,223.1,140.4,6.0,7.5,25.0,0.0,0.0,0.0,3.1,7.5,8.6,1.2,88.4,18.6
Myrskylä,2012,1.7,12.8,0.0,292.8,111.0,236.9,227.4,4.5,4.5,25.0,0.0,0.0,0.0,3.1,7.5,9.4,1.0,83.8,16.9
Myrskylä,2013,1.4,0.0,0.0,356.7,97.0,306.0,139.4,5.5,6.0,25.0,0.0,0.0,0.0,2.8,7.5,7.7,1.1,75.2,18.0
Myrskylä,2014,1.3,0.0,0.0,299.4,66.0,250.4,27.2,2.5,3.0,25.0,0.0,0.0,0.0,2.6,7.5,9.0,1.0,86.9,22.3
Myrskylä,2015,1.2,0.0,0.0,202.0,77.0,182.3,52.3,2.5,2.0,25.0,0.0,0.0,0.0,2.4,7.5,9.0,1.1,76.5,13.6
Myrskylä,2016,1.2,0.0,0.0,223.1,84.0,228.6,22.2,2.5,0.5,25.0,0.0,0.0,0.0,2.3,7.5,9.4,1.3,60.8,15.7
Myrskylä,2017,1.3,26.4,0.0,253.9,81.0,271.7,180.3,2.5,4.1,25.0,0.0,0.0,0.0,2.3,7.5,9.6,1.3,70.2,14.6
Myrskylä,2018,1.3,26.4,0.0,335.5,131.0,307.5,36.9,2.6,3.1,25.0,0.0,0.0,0.0,2.8,7.5,9.4,1.1,61.5,16.1
Myrskylä,2019,1.4,26.4,0.0,244.6,140.0,211.5,22.8,3.2,6.9,25.0,0.0,0.0,0.0,3.1,5.5,9.7,1.5,74.4,11.0
Myrskylä,2020,1.4,14.5,0.0,288.3,102.0,286.5,43.3,3.2,5.9,25.0,0.0,0.0,0.0,2.9,6.7,11.1,1.7,80.0,19.1
Myrskylä,2021,1.3,25.5,0.0,267.0,97.0,386.0,89.8,5.0,9.9,25.0,0.0,0.0,0.0,3.1,8.0,10.4,2.5,78.3,20.6
Myrskylä,2022,1.2,25.5,0.0,206.7,101.0,290.2,59.0,5.0,9.9,25.0,0.0,0.0,0.0,2.4,8.2,14.0,2.0,89.6,25.6
Myrskylä,2023,1.3,25.5,0.0,135.0,69.0,290.2,59.0,5.0,9.9,25.0,0.0,0.0,0.0,2.4,9.6,12.9,1.7,86.7,24.1
Mäntsälä,2000,1.0,4.9,5.7,232.1,0.0,191.2,440.9,5.1,8.1,6.0,5.0,2.7,0.5,2.6,1.9,9.4,0.2,58.6,19.2
