year,municipality,type_of_debt,mean_debt_euro
2003,Eurajoki,Housing loans,20291
2003,Rauma,Housing loans,18583
2003,Säkylä,Housing loans,16927
2003,Akaa,Housing loans,21740
2003,Urjala,Housing loans,11752
2003,Valkeakoski,Housing loans,18279
2003,Punkalaidun,Housing loans,8190
2003,Sastamala,Housing loans,15659
2003,Ikaalinen,Housing loans,15341
2003,Kihniö,Housing loans,10645
2003,Parkano,Housing loans,12506
2003,Hämeenkyrö,Housing loans,19288
2003,Kangasala,Housing loans,29111
2003,Lempäälä,Housing loans,33458
2003,Nokia,Housing loans,28212
2003,Orivesi,Housing loans,16910
2003,Pirkkala,Housing loans,37500
2003,Pälkäne,Housing loans,18002
2003,Tampere,Housing loans,18001
2003,Vesilahti,Housing loans,29746
2003,Ylöjärvi,Housing loans,31069
2003,Juupajoki,Housing loans,12620
2003,Mänttä-Vilppula,Housing loans,12492
2003,Ruovesi,Housing loans,13017
2003,Virrat,Housing loans,11215
2003,Joutsa,Housing loans,11985
2003,Luhanka,Housing loans,8343
2003,Hankasalmi,Housing loans,12632
2003,Jyväskylä,Housing loans,20380
2003,Laukaa,Housing loans,26911
2003,Muurame,Housing loans,34192
2003,Petäjävesi,Housing loans,16731
2003,Toivakka,Housing loans,16575
2003,Uurainen,Housing loans,21120
2003,Jämsä,Housing loans,16535
2003,Kuhmoinen,Housing loans,9472
2003,Keuruu,Housing loans,14097
2003,Multia,Housing loans,11031
2003,Kannonkoski,Housing loans,8089
2003,Karstula,Housing loans,12863
2003,Kinnula,Housing loans,12019
2003,Kivijärvi,Housing loans,7638
2003,Kyyjärvi,Housing loans,9219
2003,Pihtipudas,Housing loans,11604
2003,Saarijärvi,Housing loans,14531
2003,Viitasaari,Housing loans,12231
2003,Konnevesi,Housing loans,15156
2003,Äänekoski,Housing loans,19219
2003,Alajärvi,Housing loans,13223
2003,Evijärvi,Housing loans,13964
2003,Lappajärvi,Housing loans,10334
2003,Soini,Housing loans,10461
2003,Vimpeli,Housing loans,14026
2003,Alavus,Housing loans,13845
2003,Kuortane,Housing loans,10787
2003,Ähtäri,Housing loans,14793
2003,Ilmajoki,Housing loans,19465
2003,Kauhava,Housing loans,14318
2003,Kurikka,Housing loans,14443
2003,Lapua,Housing loans,18712
2003,Seinäjoki,Housing loans,23859
2003,Isojoki,Housing loans,9104
2003,Karijoki,Housing loans,11470
2003,Kauhajoki,Housing loans,17356
2003,Teuva,Housing loans,11785
2003,Kruunupyy,Housing loans,19439
2003,Luoto,Housing loans,34445
2003,Pedersören kunta,Housing loans,25953
2003,Pietarsaari,Housing loans,24791
2003,Uusikaarlepyy,Housing loans,16602
2003,Isokyrö,Housing loans,16072
2003,Laihia,Housing loans,22928
2003,Kaskinen,Housing loans,15846
2003,Kristiinankaupunki,Housing loans,14521
2003,Närpiö,Housing loans,12950
2003,Korsnäs,Housing loans,14187
2003,Maalahti,Housing loans,19432
2003,Mustasaari,Housing loans,30685
2003,Vaasa,Housing loans,21613
2003,Vöyri,Housing loans,16384
2003,Hirvensalmi,Housing loans,12142
2003,Kangasniemi,Housing loans,11507
2003,Mikkeli,Housing loans,19230
2003,Mäntyharju,Housing loans,12170
2003,Pertunmaa,Housing loans,9435
2003,Puumala,Housing loans,11128
2003,Joroinen,Housing loans,15473
2003,Juva,Housing loans,12133
2003,Pieksämäki,Housing loans,11752
2003,Enonkoski,Housing loans,12316
2003,Heinävesi,Housing loans,9324
2003,Rantasalmi,Housing loans,12253
2003,Savonlinna,Housing loans,15534
2003,Sulkava,Housing loans,9755
2003,Kaavi,Housing loans,9396
2003,Rautavaara,Housing loans,6084
2003,Tuusniemi,Housing loans,9712
2003,Kuopio,Housing loans,17764
2003,Siilinjärvi,Housing loans,27732
2003,Rautalampi,Housing loans,9922
2003,Suonenjoki,Housing loans,11819
2003,Tervo,Housing loans,9030
2003,Vesanto,Housing loans,7036
2003,Leppävirta,Housing loans,16695
2003,Varkaus,Housing loans,16360
2003,Iisalmi,Housing loans,16836
2003,Keitele,Housing loans,11974
2003,Kiuruvesi,Housing loans,10892
2003,Lapinlahti,Housing loans,15333
2003,Pielavesi,Housing loans,10545
2003,Sonkajärvi,Housing loans,11416
2003,Vieremä,Housing loans,12049
2003,Ilomantsi,Housing loans,6909
2003,Joensuu,Housing loans,15503
2003,Juuka,Housing loans,8616
2003,Kontiolahti,Housing loans,29290
