Municipality,Year,0
Suonenjoki,2015,4.36642179056543
Suonenjoki,2016,4.712002434381693
Suonenjoki,2017,8.368914542396979
Suonenjoki,2018,10.445149358744423
Suonenjoki,2019,11.610010849288349
Suonenjoki,2020,12.03170271517169
Suonenjoki,2021,10.614965177367452
Suonenjoki,2022,14.788329565387615
Suonenjoki,2023,17.32557422936877
Sysmä,1997,-2.3676404572810172
Sysmä,1998,-0.6537248320269935
Sysmä,1999,-0.6952251936574518
Sysmä,2000,-0.36815276676074715
Sysmä,2001,-0.6247011021757969
Sysmä,2002,0.8072425049451253
Sysmä,2003,2.2918959823672305
Sysmä,2004,2.4592784869529765
Sysmä,2005,2.348841308877673
Sysmä,2006,0.8529408733949436
Sysmä,2007,2.971906929051857
Sysmä,2008,3.691417224604359
Sysmä,2009,0.16148823214416308
Sysmä,2010,1.1144922131889665
Sysmä,2011,1.5094855258546176
Sysmä,2012,1.6424366786856157
Sysmä,2013,-0.3613063675001452
Sysmä,2014,1.3163035977224382
Sysmä,2015,-0.15269581438975066
Sysmä,2016,1.3749193766508703
Sysmä,2017,3.219330373976393
Sysmä,2018,5.565576753015071
Sysmä,2019,3.8451063454305525
Sysmä,2020,0.6136571483385207
Sysmä,2021,-0.09909006454335041
Sysmä,2022,0.851391226939439
Sysmä,2023,1.1948697751290125
Säkylä,1997,-8.082000835359695
Säkylä,1998,-8.196520954068896
Säkylä,1999,-6.767867869535094
Säkylä,2000,-5.665590066128662
Säkylä,2001,-5.426664624486277
Säkylä,2002,-4.871027999983751
Säkylä,2003,-4.642394323026968
Säkylä,2004,-3.3052911724877085
Säkylä,2005,-2.8489858270608655
Säkylä,2006,-1.0546030670977211
Säkylä,2007,-1.2484551371011214
Säkylä,2008,0.7664536385001256
Säkylä,2009,0.6468365338587773
Säkylä,2010,-0.4693553548648596
Säkylä,2011,-1.8505957500957837
Säkylä,2012,-1.1276274196608576
Säkylä,2013,-3.3187889099149483
Säkylä,2014,-3.1525874987266347
Säkylä,2015,-2.3112381648930387
Säkylä,2016,-1.7854039011915348
Säkylä,2017,-1.8018298358159104
Säkylä,2018,-3.36833785301258
Säkylä,2019,-0.8557977085274489
Säkylä,2020,-4.747029486510945
Säkylä,2021,-3.834143298739159
Säkylä,2022,-0.44687516075471323
Säkylä,2023,-0.1583128768222479
Taipalsaari,1997,-0.8091740678864738
Taipalsaari,1998,-2.1422634994057974
Taipalsaari,1999,-4.3524121197026755
Taipalsaari,2000,-3.378028118583428
Taipalsaari,2001,-3.447196405881037
Taipalsaari,2002,-2.8762950636965723
Taipalsaari,2003,-5.8010396492423055
Taipalsaari,2004,-2.075180105868819
Taipalsaari,2005,-3.1289740849816354
Taipalsaari,2006,-3.218811610206528
Taipalsaari,2007,-1.7753498247647657
Taipalsaari,2008,-1.1262182950034578
Taipalsaari,2009,-1.9003454985185266
Taipalsaari,2010,-2.2609901056710586
Taipalsaari,2011,-2.417290752846008
Taipalsaari,2012,-2.217970177753106
Taipalsaari,2013,-3.4467658526683143
Taipalsaari,2014,-4.5609366619603
Taipalsaari,2015,-3.5693613360296217
Taipalsaari,2016,-5.27386646879301
Taipalsaari,2017,-1.6061465946866975
Taipalsaari,2018,-4.24363076715899
Taipalsaari,2019,-1.5887608226596768
Taipalsaari,2020,-0.5446683342917972
Taipalsaari,2021,-0.827074084297323
Taipalsaari,2022,-2.566376572343765
Taipalsaari,2023,-3.279793877685209
Taivalkoski,1997,-3.971019069182227
Taivalkoski,1998,-2.0519283435387177
Taivalkoski,1999,-0.20301865188017487
Taivalkoski,2000,-0.04242699685811391
Taivalkoski,2001,0.26416341632100315
Taivalkoski,2002,0.017015481361278922
Taivalkoski,2003,1.0713470697654928
Taivalkoski,2004,2.0543759121560523
Taivalkoski,2005,2.569315214662918
Taivalkoski,2006,3.9530008576123197
Taivalkoski,2007,1.2491630189295837
Taivalkoski,2008,1.6389450688630856
Taivalkoski,2009,1.836722068747267
Taivalkoski,2010,2.054121469592119
Taivalkoski,2011,4.316412282739106
Taivalkoski,2012,3.217108583102903
Taivalkoski,2013,2.1970960397597326
Taivalkoski,2014,1.4143315921507282
Taivalkoski,2015,1.4330541850665726
Taivalkoski,2016,-0.7265783632106936
Taivalkoski,2017,3.0866999721302384
Taivalkoski,2018,6.9529583769617584
