year,municipality,type_of_debt,mean_debt_euro
2003,Joroinen,Other debts,7485
2003,Juva,Other debts,7881
2003,Pieksämäki,Other debts,5563
2003,Enonkoski,Other debts,6660
2003,Heinävesi,Other debts,5162
2003,Rantasalmi,Other debts,9100
2003,Savonlinna,Other debts,5567
2003,Sulkava,Other debts,6877
2003,Kaavi,Other debts,4368
2003,Rautavaara,Other debts,5500
2003,Tuusniemi,Other debts,6282
2003,Kuopio,Other debts,6090
2003,Siilinjärvi,Other debts,7467
2003,Rautalampi,Other debts,5914
2003,Suonenjoki,Other debts,5539
2003,Tervo,Other debts,5519
2003,Vesanto,Other debts,4901
2003,Leppävirta,Other debts,6714
2003,Varkaus,Other debts,5887
2003,Iisalmi,Other debts,5173
2003,Keitele,Other debts,6444
2003,Kiuruvesi,Other debts,7258
2003,Lapinlahti,Other debts,6699
2003,Pielavesi,Other debts,6857
2003,Sonkajärvi,Other debts,5975
2003,Vieremä,Other debts,8706
2003,Ilomantsi,Other debts,3316
2003,Joensuu,Other debts,4476
2003,Juuka,Other debts,3551
2003,Kontiolahti,Other debts,12927
2003,Liperi,Other debts,6054
2003,Outokumpu,Other debts,4093
2003,Polvijärvi,Other debts,4084
2003,Kitee,Other debts,5878
2003,Rääkkylä,Other debts,4368
2003,Tohmajärvi,Other debts,5236
2003,Lieksa,Other debts,3982
2003,Nurmes,Other debts,4982
2003,Halsua,Other debts,12826
2003,Kaustinen,Other debts,10892
2003,Lestijärvi,Other debts,15458
2003,Perho,Other debts,16352
2003,Toholampi,Other debts,10456
2003,Veteli,Other debts,13375
2003,Kannus,Other debts,8958
2003,Kokkola,Other debts,8644
2003,Haapavesi,Other debts,6259
2003,Pyhäntä,Other debts,9773
2003,Siikalatva,Other debts,7441
2003,Kuusamo,Other debts,6384
2003,Taivalkoski,Other debts,6251
2003,Haapajärvi,Other debts,8039
2003,Kärsämäki,Other debts,8160
2003,Nivala,Other debts,7623
2003,Pyhäjärvi,Other debts,5836
2003,Reisjärvi,Other debts,5972
2003,Hailuoto,Other debts,8802
2003,Kempele,Other debts,10813
2003,Liminka,Other debts,10196
2003,Lumijoki,Other debts,10957
2003,Muhos,Other debts,6985
2003,Oulu,Other debts,6664
2003,Tyrnävä,Other debts,11607
2003,Ii,Other debts,6785
2003,Pudasjärvi,Other debts,5622
2003,Utajärvi,Other debts,8858
2003,Vaala,Other debts,6460
2003,Pyhäjoki,Other debts,6907
2003,Raahe,Other debts,7048
2003,Siikajoki,Other debts,7405
2003,Alavieska,Other debts,6483
2003,Kalajoki,Other debts,8527
2003,Merijärvi,Other debts,9871
2003,Oulainen,Other debts,7261
2003,Sievi,Other debts,7754
